기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20233,U,관광특구,3001496,강남 마이스 관광특구,116820,56546,60274,9741,24430,31606,26251,14528,10264,6838,22047,28119,28982,24541,6292,16713,17686,18378,18560,18293,14662,12527
20233,U,관광특구,3001495,잠실 관광특구,4005509,1937145,2068365,413439,892838,976029,681749,492787,548668,693066,743362,605483,633309,864839,465448,566137,566857,573760,570159,579731,595722,553142
20233,U,관광특구,3001494,종로?청계 관광특구,8353018,4439304,3913714,321655,1531086,1634594,1585568,1450905,1829208,854360,1660233,1757007,1773540,1659889,647989,1344871,1344464,1353279,1316337,1316317,962386,715364
20233,U,관광특구,3001493,동대문패션타운 관광특구,3189182,1510236,1678946,173200,566457,759480,620976,494222,574846,634526,639066,487752,480423,562444,384970,505715,509594,510428,496596,464684,354613,347552
20233,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,6822274,3317776,3504498,284079,1188425,1689576,1559905,1101604,998682,384452,1450341,1683283,1665421,1296312,342464,1117683,1129837,1153089,1116744,1090865,678392,535663
20233,U,관광특구,3001491,이태원 관광특구,2131046,1074138,1056906,130989,539009,521664,361889,262902,314593,433157,365611,294911,319401,437889,280078,279498,276934,282199,286747,313509,360054,332104
20233,R,전통시장,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",55947,26387,29560,2188,8324,13564,12098,9337,10438,12668,11246,8344,7670,8731,7290,9316,9412,9286,8966,7982,5263,5723
20233,R,전통시장,3130326,고덕 골목형상점가,122285,56300,65986,27798,11032,17935,23472,15257,26792,26378,28411,15723,14881,21252,15640,17352,17226,17450,17455,17322,17549,17931
20233,R,전통시장,3130325,명일전통시장,296879,131922,164958,52310,32278,39651,48225,42770,81646,60875,58160,39694,40291,60434,37425,42147,41740,42217,41376,41801,43146,44453
20233,R,전통시장,3130324,길동복조리시장,551179,247698,303482,82454,59767,80524,86513,84691,157232,155862,110710,63211,61642,87518,72237,77740,78244,78075,78322,77903,80165,80730
20233,R,전통시장,3130323,둔촌역전통시장,296958,143760,153199,39919,38405,37172,45567,52178,83717,83457,60550,32765,33351,48399,38436,42822,42317,42419,41857,42154,42526,42864
20233,R,전통시장,3130322,고분다리전통시장,164059,81308,82750,19249,20185,23765,22770,30187,47903,47086,32705,17536,17720,26808,22202,23079,22989,22870,23090,22877,23958,25196
20233,R,전통시장,3130321,장신구 특화거리 상점가,222224,103838,118386,39166,25735,31898,38325,35801,51299,47153,47299,32080,31080,39479,25132,33007,32243,32434,31743,31444,29866,31486
20233,R,전통시장,3130320,암사종합시장,188591,89363,99229,18095,24145,31498,32606,33360,48886,36962,36047,25838,27850,39243,22651,27114,26567,26747,26733,26372,28124,26934
20233,R,전통시장,3130319,성내전통시장,642924,311713,331210,109013,71445,98542,102144,98351,163430,179145,126404,69231,73285,109981,84877,89138,87703,87739,88086,87613,98223,104421
20233,R,전통시장,3130318,로데오거리상점가,460549,218548,242002,35002,99370,90372,70074,69709,96025,70319,78341,69820,79611,106353,56105,61951,61683,62839,61805,66562,74539,71171
20233,R,전통시장,3130317,마천중앙시장,678037,320409,357629,95091,68133,88061,90263,116282,220208,180696,135259,79353,80419,116190,86121,94794,93766,94337,95019,93773,100774,105574
20233,R,전통시장,3130316,마천시장,80278,38464,41814,11139,8471,10190,10932,13852,25693,22233,15769,9195,9096,13421,10564,11303,11232,11220,11419,11212,11859,12033
20233,R,전통시장,3130315,문정동 로데오거리 상점가(문정동 로데오거리),644704,312988,331717,100397,102181,124063,104854,91782,121428,148394,134034,88956,88418,109712,75191,96988,96350,96143,95297,94050,83409,82467
20233,R,전통시장,3130314,풍납시장,1391469,638670,752800,177824,154762,216269,217846,226616,398152,368654,278598,156165,158453,241709,187891,194886,193811,193442,194434,193511,208388,213000
20233,R,전통시장,3130313,방이시장,962260,444756,517505,131052,135382,192720,160932,139962,202212,283522,198718,103533,100639,146023,129824,138791,137712,137276,136152,134986,136664,140681
20233,R,전통시장,3130312,석촌시장,291509,140133,151376,46267,34939,56808,53279,44008,56211,58663,54663,39832,41341,59655,37356,41620,41355,41447,41026,41594,42408,42060
20233,R,전통시장,3130311,새마을시장,926957,435096,491861,151893,156366,167269,163764,122978,164686,218751,172249,109328,119825,183140,123663,128930,129662,130792,129716,131525,141973,134359
