기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20211,D,발달상권,3120009,종로3가역,CS300002,편의점,3526411492,540042,2437476602,1088934890,463039365,462459894,501823728,435581812,574571803,652604833,436330057,281714474,456923597,451129265,495095055,997813992,843735109,2493182580,985089637,21823712,1120544399,874824672,648686595,527998526,284394315,381592,158450,72810,75358,78764,70758,83902,91323,67127,33994,90269,86611,87750,145179,96239,375291,161232,3973,185950,133704,91088,77268,44537
20211,A,골목상권,3110029,동대문역 1번,CS300002,편의점,575512553,76398,417391568,158120985,80848428,86424497,91058347,75698461,83361835,82884678,75236307,72458459,111098882,69145240,66469049,159001184,97339739,406288636,169223917,2924017,158017471,139020849,128601523,103448639,43500054,56693,19705,11038,11890,12046,10502,11217,10502,9203,8531,15943,10345,9000,19212,13367,52788,23610,814,25730,18741,15126,11194,4793
20211,A,골목상권,3110092,NH농협은행 보광동지점,CS300002,편의점,601882125,75189,408530348,193351777,81346690,76101427,81357342,78681837,91043052,98808807,94542970,89750009,54837837,50004473,69766203,161781977,175741626,416290857,185591268,4087510,123109685,209209191,140165266,68590054,56720419,52254,22935,10573,10190,10176,10231,11084,11489,11446,9389,8367,7372,9866,19804,20391,50970,24219,633,17258,25412,15967,9626,6293
20211,D,발달상권,3120018,중림동,CS300002,편의점,925846471,123159,699251703,226594768,138006374,144798774,138678524,132711354,145056677,124752177,101842591,46164529,144195993,152131702,135740513,277544628,170069106,580890250,334200158,2782964,121064725,324801729,244531544,150283918,71625528,96058,27101,19146,20048,19545,18176,19143,14554,12547,5392,25418,22338,18561,33142,18308,77301,44793,608,20982,41869,31391,20257,6988
20211,A,골목상권,3110052,장충초등학교,CS300002,편의점,163242440,25966,119363479,43878961,23189222,26765219,24785962,20593354,24029722,23255903,20623058,14503429,30370010,23008876,21024467,43519482,30816176,103437172,59805268,1090481,34819928,44625519,32388042,42308413,8010057,19965,6001,3940,4102,4164,3647,4112,3102,2899,2021,6649,4253,3859,5395,3789,14923,11043,296,7417,7183,5209,4484,1377
20211,A,골목상권,3110166,구의1동주민센터,CS300002,편의점,312304245,47289,216964008,95340237,43048340,40968823,45300705,39907352,47738788,52974758,42365479,35362780,36337518,32640615,37668967,86353666,83940699,227254038,85050207,2690594,91756574,101553051,59178032,37399658,19726336,32639,14650,6310,6371,6620,6212,7126,7461,7189,5049,6385,4591,6582,13225,11457,34526,12763,741,15919,14724,7879,5737,2289
20211,A,골목상권,3110125,사근동살곶이상점가,CS300002,편의점,227825947,43740,162245282,65580665,31845667,34724567,33414910,30624304,31635834,34110168,31470497,30662373,21691658,25959709,23663851,65026608,60821748,168073719,59752228,2684820,147234886,30065548,18427906,21551426,7861361,31742,11998,6388,6662,6591,6080,6021,6100,5898,5420,4805,5784,4663,11714,11354,30072,13668,579,30489,5838,2314,3182,1338
20211,A,골목상권,3110163,성자초등학교,CS300002,편의점,482273337,71539,341605690,140667647,68583517,70052008,68048000,56855132,78067033,75037144,65630503,43019536,70117872,52793620,63034642,123193322,130114345,315631884,166641453,6405210,92017849,152497247,104660549,97832182,28860300,51472,20067,10303,10850,10323,8960,11036,10544,9523,6830,12255,8830,8971,17143,17510,45022,26517,2022,16505,20966,14710,13916,3420
20211,A,골목상권,3110193,고려대역 4번,CS300002,편의점,452147561,77330,336432592,115714969,65596824,67855075,71878050,60300500,70802143,62123642,53591327,48336489,73100984,44596805,52869120,124823361,108420802,296727669,155419892,3940117,141407751,112520459,105293538,63627869,25357827,58207,19123,11451,11887,12413,11066,11390,10004,9119,6906,16327,8593,9445,19972,16087,48770,28560,1056,26813,19716,15525,9949,4271
20211,D,발달상권,3120064,경희대학교(경희대),CS300002,편의점,947929315,168188,655262006,292667309,123814791,137286977,134319857,119068499,140771882,156632432,136034877,105784714,103150294,101091787,111856943,262232517,263813060,574134120,373795195,17249885,417953047,227687612,140317647,107902920,36818204,119785,48403,23558,24747,25237,21489,24754,25624,22779,14917,25028,22173,22516,46678,36876,99473,68715,3374,81105,35660,21831,18645,7573
