매출_금액,기준_년도,기준_분기,시간대,상권_구분_코드_명,상권_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,행정동_코드_명,영역_면적,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_가구_수,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
62575582,2021,1,시간대_00~06_매출_금액,골목상권,포이초등학교(개포목련어린이공원),770055585,105130,562210834,207844751,118823864,107154099,113182912,100495509,122554450,110397858,97446893,4173787,131513290,268995506,170553939,122769940,65616949,78747,26383,16067,15805,16648,14179,16048,13505,12878,7737,15768,19598,14719,27959,19349,1425,21232,32547,22551,17937,9043,204610,441598,개포4동,137098,909202,165746,103070,164393,159919,139755,176319,310492,211684,100964,83970,101596,100496,130854,131461,130536,130970,129499,126652,129230,4267,618,656,716,703,725,849,1912,1556,2,236,342,331,306,339,3091267.0,7.0,1995713025.0,471761705.0,248526502.0,149646467.0,233510127.0,350604435.0,83169438.0,58149253.0,314687930.0,85657168.0,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
190893636,2021,1,시간대_00~06_매출_금액,발달상권,선정릉역,2834665057,397588,2250471191,584193866,435852116,466016986,473706560,417190152,457705377,364172091,220021775,16706172,568385521,959011470,661109880,318523455,154452021,325463,72125,63975,68548,68363,61721,62856,44022,28103,19757,82444,84166,58697,94267,58257,4730,103126,134867,80272,41680,19541,204022,445778,삼성2동,323475,2324602,299895,411118,548288,470177,269392,325732,486363,487966,348673,352761,400530,248308,349265,356622,354166,348619,337173,294574,284182,6714,804,1098,1452,1288,894,1178,3816,11920,32,2669,4154,2699,1509,857,3669932.0,7.0,4195722577.0,972042077.0,520457583.0,329805664.0,458997625.0,728957375.0,170883058.0,128518628.0,705868339.0,180192228.0,73,4.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
84038340,2021,1,시간대_00~06_매출_금액,골목상권,언북중학교,698553091,92578,531900150,166652941,105808931,108884433,108758603,95826176,112622007,90362389,76290552,1917250,159616732,233048059,146519157,58993639,31420902,71209,21369,14198,14421,14943,13113,14534,11976,9393,8229,16251,16860,12928,21555,16755,596,25134,32074,15871,8487,4699,202797,446468,논현2동,94815,822658,58142,172739,232664,171566,81994,105553,162820,174833,138575,134846,133464,78120,128358,134723,133534,130296,122908,89455,83384,1761,137,300,454,311,214,345,1088,1251,1,262,379,317,147,145,3496418.0,7.0,1591782820.0,378039666.0,199470929.0,125805678.0,178795055.0,276443145.0,64429371.0,49447012.0,249424334.0,69927630.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180614316,2021,1,시간대_00~06_매출_금액,발달상권,개나리아파트,2360145485,343200,1862929139,497216346,358901493,393481851,376714601,339910798,393920396,259567229,237649117,28241352,481900139,773452965,570267733,275119310,134149158,276067,67133,55501,57798,57534,50516,54718,34505,32628,18861,73979,70537,54511,79545,45767,6857,82710,111244,79178,39562,16704,203905,444200,역삼2동,148412,1176672,177962,185652,257136,252051,144431,159441,238283,257567,184823,179663,192103,124234,179678,183603,182865,178692,171835,142520,137480,4115,687,712,622,766,564,764,2106,5243,87,1658,1413,1080,655,350,3882226.0,8.0,1721637065.0,402206816.0,216157969.0,132792842.0,194720290.0,298259070.0,72754126.0,51816825.0,278976539.0,73952588.0,45,2.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
191954664,2021,1,시간대_00~06_매출_금액,골목상권,대청초등학교,2033028774,316583,1389093802,643934972,271118179,273132911,279654933,260909906,304277873,315476543,328458429,30722897,482536051,491196211,480542914,360468868,187561833,221103,95480,43173,43328,45758,41760,47084,47364,48116,27277,53553,38284,43525,87256,66688,7725,82753,75545,67690,54762,28108,207481,443569,일원1동,236964,2907688,411376,380311,419536,446106,463347,787011,937469,614126,296107,273425,390170,396392,416752,423255,422957,419792,416049,403761,405121,7187,1042,1264,1174,1052,1114,1541,3441,1724,4,230,291,391,383,425,3135357.0,7.0,7111260999.0,1642914131.0,888063639.0,555360381.0,815115871.0,1251073315.0,312328636.0,205634012.0,1139153125.0,301617889.0,49,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
111435011,2021,1,시간대_00~06_매출_금액,발달상권,도곡1동,1253727358,185468,953927309,299800049,182883461,180349575,192367717,180701232,217625324,161897080,137902969,11043260,269354037,365330647,316194221,144014158,57371626,145629,39839,28503,29016,30063,28293,29754,21381,18458,10914,45921,34167,25413,41864,27189,2501,48817,54914,40751,21392,9734,203531,443680,역삼1동,169293,1178102,163885,200439,252594,229438,154241,177505,228122,253290,184736,183174,205185,123593,179183,180939,180607,176682,171830,146628,142232,1880,176,361,462,299,254,328,1108,11549,116,3564,3468,2477,1299,625,3463488.0,7.0,1479305382.0,337144200.0,185871874.0,121022545.0,164224402.0,262099567.0,63853363.0,44830092.0,236009604.0,64249735.0,36,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
80234841,2021,1,시간대_00~06_매출_금액,골목상권,윗방죽마을공원,716252027,94473,497241934,219010093,101454396,102813794,91690260,88920037,112363447,109552584,109457509,2488258,139357996,242244540,151485714,95621703,40386590,64093,30380,13144,12844,12368,11614,14123,15129,15251,10737,14650,11815,12468,26541,18262,527,18588,34643,19316,12492,5645,209190,441356,세곡동,239797,165705,28325,25284,36617,30610,18345,26525,44520,33592,18706,18991,26945,22953,23587,23551,23497,23497,23197,24273,24103,3223,168,715,1000,472,304,564,2418,268,2,19,43,44,83,77,3614875.0,7.0,798255194.0,201956825.0,98578567.0,62035024.0,109328528.0,147224773.0,28630487.0,23125167.0,90524624.0,36851199.0,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
40555697,2021,1,시간대_00~06_매출_금액,발달상권,매봉역,703396485,121218,554721722,148674763,106728114,113218754,112447833,103977860,118349161,76579552,72095211,5271971,145579392,208568869,158875195,106885396,55844748,98163,23055,19572,19944,20434,18148,20065,11948,11107,5513,35282,22473,16767,25350,15833,1425,31608,38377,24293,15645,7729,203882,442769,도곡2동,122443,514581,46462,82237,106340,97180,79241,103118,75342,103690,91691,95671,100900,47288,79980,82761,82673,80458,77172,58006,53529,1116,131,209,180,176,172,248,592,13950,95,2838,4203,3126,1781,1907,3506683.0,7.0,1848282139.0,422391998.0,231561686.0,140726552.0,207169501.0,326487297.0,78149715.0,53795965.0,308799702.0,79199723.0,22,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
17401505,2021,1,시간대_00~06_매출_금액,골목상권,언북초등학교,338812366,43962,252505105,86307261,48664732,50213027,55978764,47201533,50447049,47194378,39112883,3205046,71981547,126004675,62704638,49058828,21982129,33883,10079,6770,7228,7233,6164,6488,5474,4605,1708,9963,6512,6177,11569,8033,973,10966,15306,7531,6422,2406,204115,446924,청담동,55724,762624,78054,136857,176387,147691,96723,126913,159516,158071,117052,113285,132153,82547,109487,115052,115353,113615,111209,103214,94694,2022,270,397,432,328,248,347,1080,578,1,111,188,126,86,66,3250531.0,7.0,1119489213.0,269244279.0,137537997.0,87071654.0,127134907.0,193261294.0,42971342.0,34566618.0,179295286.0,48405836.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128647075,2021,1,시간대_00~06_매출_금액,발달상권,영동대교남단교차로,1588147287,190928,1125316632,462830655,199529437,224334989,233018751,210510482,257922973,266249353,196581302,9751465,303422750,529737541,332402034,232906998,89468064,141533,49395,26435,29256,28889,26442,30511,27805,21590,13052,33165,34672,29182,50159,30698,2123,41641,63423,38853,27464,11314,204844,447175,청담동,89136,302429,29503,45288,70956,59731,45732,51218,44651,63408,54276,55609,57726,26758,45825,47818,47983,46701,45538,37086,31477,706,125,96,123,130,115,117,303,3984,7,489,1172,1107,929,280,5402804.0,9.0,736186796.0,150146812.0,94546067.0,60537799.0,76912269.0,130947047.0,42453708.0,19835545.0,132215438.0,28592111.0,12,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
