기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20211,A,골목상권,3110984,포이초등학교(개포목련어린이공원),CS300002,편의점,770055585,105130,562210834,207844751,118823864,107154099,113182912,100495509,122554450,110397858,97446893,62575582,93341764,124985929,100267167,223968645,164916498,556562494,207060916,4173787,131513290,268995506,170553939,122769940,65616949,78747,26383,16067,15805,16648,14179,16048,13505,12878,7737,15768,19598,14719,27959,19349,71324,33411,1425,21232,32547,22551,17937,9043,204610,441598,11680,강남구,11680690,개포4동,137098,909202,434669,474532,165746,103070,164393,159919,139755,176319,310492,211684,100964,83970,101596,100496,130854,131461,130536,130970,129499,126652,129230,4267,2104,2163,618,656,716,703,725,849,313,346,379,328,366,372,305,310,337,375,359,477,1912,0,1912,1556,1046,510,2,236,342,331,306,339,0,140,241,211,199,255,2,96,101,120,107,84,3091267.0,7.0,1995713025.0,471761705.0,248526502.0,149646467.0,233510127.0,350604435.0,83169438.0,58149253.0,314687930.0,85657168.0
20211,D,발달상권,3120207,선정릉역,CS300002,편의점,2834665057,397588,2250471191,584193866,435852116,466016986,473706560,417190152,457705377,364172091,220021775,190893636,442510476,480996582,404653139,764929941,550681283,1768458864,909729662,16706172,568385521,959011470,661109880,318523455,154452021,325463,72125,63975,68548,68363,61721,62856,44022,28103,19757,82444,84166,58697,94267,58257,246643,137565,4730,103126,134867,80272,41680,19541,204022,445778,11680,강남구,11680590,삼성2동,323475,2324602,1136101,1188501,299895,411118,548288,470177,269392,325732,486363,487966,348673,352761,400530,248308,349265,356622,354166,348619,337173,294574,284182,6714,2997,3717,804,1098,1452,1288,894,1178,423,464,615,576,418,501,381,634,837,712,476,677,3816,0,3816,11920,7343,4577,32,2669,4154,2699,1509,857,16,1106,2428,1922,1135,736,16,1563,1726,777,374,121,3669932.0,7.0,4195722577.0,972042077.0,520457583.0,329805664.0,458997625.0,728957375.0,170883058.0,128518628.0,705868339.0,180192228.0
20211,A,골목상권,3110957,언북중학교,CS300002,편의점,698553091,92578,531900150,166652941,105808931,108884433,108758603,95826176,112622007,90362389,76290552,84038340,87337402,98977982,85082196,178983557,164133614,426876797,204638946,1917250,159616732,233048059,146519157,58993639,31420902,71209,21369,14198,14421,14943,13113,14534,11976,9393,8229,16251,16860,12928,21555,16755,58362,28499,596,25134,32074,15871,8487,4699,202797,446468,11680,강남구,11680531,논현2동,94815,822658,419507,403151,58142,172739,232664,171566,81994,105553,162820,174833,138575,134846,133464,78120,128358,134723,133534,130296,122908,89455,83384,1761,797,964,137,300,454,311,214,345,77,127,195,167,98,133,60,173,259,144,116,212,1088,0,1088,1251,831,420,1,262,379,317,147,145,1,146,241,215,109,119,0,116,138,102,38,26,3496418.0,7.0,1591782820.0,378039666.0,199470929.0,125805678.0,178795055.0,276443145.0,64429371.0,49447012.0,249424334.0,69927630.0
20211,D,발달상권,3120206,개나리아파트,CS300002,편의점,2360145485,343200,1862929139,497216346,358901493,393481851,376714601,339910798,393920396,259567229,237649117,180614316,410267863,412683221,357130899,604940445,394508741,1468991864,794138791,28241352,481900139,773452965,570267733,275119310,134149158,276067,67133,55501,57798,57534,50516,54718,34505,32628,18861,73979,70537,54511,79545,45767,213174,123082,6857,82710,111244,79178,39562,16704,203905,444200,11680,강남구,11680650,역삼2동,148412,1176672,576777,599894,177962,185652,257136,252051,144431,159441,238283,257567,184823,179663,192103,124234,179678,183603,182865,178692,171835,142520,137480,4115,1932,2183,687,712,622,766,564,764,366,326,266,355,290,329,321,386,356,411,274,435,2106,0,2106,5243,3354,1889,87,1658,1413,1080,655,350,27,866,955,775,456,275,60,792,458,305,199,75,3882226.0,8.0,1721637065.0,402206816.0,216157969.0,132792842.0,194720290.0,298259070.0,72754126.0,51816825.0,278976539.0,73952588.0
20211,A,골목상권,3110997,대청초등학교,CS300002,편의점,2033028774,316583,1389093802,643934972,271118179,273132911,279654933,260909906,304277873,315476543,328458429,191954664,288779192,220175262,266340038,586223612,479556006,1361170647,671858127,30722897,482536051,491196211,480542914,360468868,187561833,221103,95480,43173,43328,45758,41760,47084,47364,48116,27277,53553,38284,43525,87256,66688,202204,114379,7725,82753,75545,67690,54762,28108,207481,443569,11680,강남구,11680730,일원1동,236964,2907688,1334953,1572734,411376,380311,419536,446106,463347,787011,937469,614126,296107,273425,390170,396392,416752,423255,422957,419792,416049,403761,405121,7187,3566,3621,1042,1264,1174,1052,1114,1541,566,637,592,515,547,709,476,627,582,537,567,832,3441,0,3441,1724,959,765,4,230,291,391,383,425,2,111,162,200,210,274,2,119,129,191,173,151,3135357.0,7.0,7111260999.0,1642914131.0,888063639.0,555360381.0,815115871.0,1251073315.0,312328636.0,205634012.0,1139153125.0,301617889.0
20211,D,발달상권,3120201,도곡1동,CS300002,편의점,1253727358,185468,953927309,299800049,182883461,180349575,192367717,180701232,217625324,161897080,137902969,111435011,238173010,199937204,164967067,304550716,234664350,752271924,411036025,11043260,269354037,365330647,316194221,144014158,57371626,145629,39839,28503,29016,30063,28293,29754,21381,18458,10914,45921,34167,25413,41864,27189,116262,61851,2501,48817,54914,40751,21392,9734,203531,443680,11680,강남구,11680640,역삼1동,169293,1178102,570618,607484,163885,200439,252594,229438,154241,177505,228122,253290,184736,183174,205185,123593,179183,180939,180607,176682,171830,146628,142232,1880,867,1013,176,361,462,299,254,328,90,135,218,146,126,152,86,226,244,153,128,176,1108,0,1108,11549,6381,5168,116,3564,3468,2477,1299,625,31,1365,2018,1727,754,486,85,2199,1450,750,545,139,3463488.0,7.0,1479305382.0,337144200.0,185871874.0,121022545.0,164224402.0,262099567.0,63853363.0,44830092.0,236009604.0,64249735.0
20211,A,골목상권,3110999,윗방죽마을공원,CS300002,편의점,716252027,94473,497241934,219010093,101454396,102813794,91690260,88920037,112363447,109552584,109457509,80234841,101484750,82378671,91119809,207407422,153626534,473678864,197905935,2488258,139357996,242244540,151485714,95621703,40386590,64093,30380,13144,12844,12368,11614,14123,15129,15251,10737,14650,11815,12468,26541,18262,63819,27394,527,18588,34643,19316,12492,5645,209190,441356,11680,강남구,11680700,세곡동,239797,165705,78251,87454,28325,25284,36617,30610,18345,26525,44520,33592,18706,18991,26945,22953,23587,23551,23497,23497,23197,24273,24103,3223,1492,1731,168,715,1000,472,304,564,95,257,458,252,181,249,73,458,542,220,123,315,2418,0,2418,268,130,138,2,19,43,44,83,77,1,12,27,27,39,24,1,7,16,17,44,53,3614875.0,7.0,798255194.0,201956825.0,98578567.0,62035024.0,109328528.0,147224773.0,28630487.0,23125167.0,90524624.0,36851199.0
20211,D,발달상권,3120205,매봉역,CS300002,편의점,703396485,121218,554721722,148674763,106728114,113218754,112447833,103977860,118349161,76579552,72095211,40555697,169706130,121970746,90999702,163743257,116420953,485434530,195591040,5271971,145579392,208568869,158875195,106885396,55844748,98163,23055,19572,19944,20434,18148,20065,11948,11107,5513,35282,22473,16767,25350,15833,81341,37736,1425,31608,38377,24293,15645,7729,203882,442769,11680,강남구,11680656,도곡2동,122443,514581,256438,258142,46462,82237,106340,97180,79241,103118,75342,103690,91691,95671,100900,47288,79980,82761,82673,80458,77172,58006,53529,1116,543,573,131,209,180,176,172,248,78,88,83,96,73,125,53,121,97,80,99,123,592,0,592,13950,9370,4580,95,2838,4203,3126,1781,1907,44,1450,2959,2521,1302,1094,51,1388,1244,605,479,813,3506683.0,7.0,1848282139.0,422391998.0,231561686.0,140726552.0,207169501.0,326487297.0,78149715.0,53795965.0,308799702.0,79199723.0
20211,A,골목상권,3110976,언북초등학교,CS300002,편의점,338812366,43962,252505105,86307261,48664732,50213027,55978764,47201533,50447049,47194378,39112883,17401505,53288495,42820807,46334496,104152568,74814495,211269047,123667816,3205046,71981547,126004675,62704638,49058828,21982129,33883,10079,6770,7228,7233,6164,6488,5474,4605,1708,9963,6512,6177,11569,8033,26312,17291,973,10966,15306,7531,6422,2406,204115,446924,11680,강남구,11680565,청담동,55724,762624,335802,426823,78054,136857,176387,147691,96723,126913,159516,158071,117052,113285,132153,82547,109487,115052,115353,113615,111209,103214,94694,2022,876,1146,270,397,432,328,248,347,126,150,182,158,121,139,144,247,250,170,127,208,1080,0,1080,578,332,246,1,111,188,126,86,66,0,41,115,83,49,44,1,70,73,43,37,22,3250531.0,7.0,1119489213.0,269244279.0,137537997.0,87071654.0,127134907.0,193261294.0,42971342.0,34566618.0,179295286.0,48405836.0
20211,D,발달상권,3120214,영동대교남단교차로,CS300002,편의점,1588147287,190928,1125316632,462830655,199529437,224334989,233018751,210510482,257922973,266249353,196581302,128647075,188240696,221089180,216897167,476353062,356920107,972643250,525045601,9751465,303422750,529737541,332402034,232906998,89468064,141533,49395,26435,29256,28889,26442,30511,27805,21590,13052,33165,34672,29182,50159,30698,110224,74593,2123,41641,63423,38853,27464,11314,204844,447175,11680,강남구,11680565,청담동,89136,302429,149347,153081,29503,45288,70956,59731,45732,51218,44651,63408,54276,55609,57726,26758,45825,47818,47983,46701,45538,37086,31477,706,345,361,125,96,123,130,115,117,66,44,53,66,57,59,59,52,70,64,58,58,303,0,303,3984,2897,1087,7,489,1172,1107,929,280,3,271,811,865,753,194,4,218,361,242,176,86,5402804.0,9.0,736186796.0,150146812.0,94546067.0,60537799.0,76912269.0,130947047.0,42453708.0,19835545.0,132215438.0,28592111.0
