기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20224,U,관광특구,3001496,강남 마이스 관광특구,113561,56267,57295,8423,23526,31283,25479,14310,10540,6959,21446,26838,27583,24323,6411,15349,17220,18047,18597,18288,13967,12091
20224,U,관광특구,3001495,잠실 관광특구,4179934,2015767,2164168,490222,895245,996787,695561,514816,587304,681051,759708,655070,692222,918306,473577,571728,588228,595830,598401,615406,633869,576473
20224,U,관광특구,3001494,종로?청계 관광특구,8657826,4693188,3964638,334742,1500979,1638219,1618642,1555937,2009307,903657,1653054,1825114,1861965,1729022,685015,1272457,1381468,1386192,1396528,1396973,1047401,776808
20224,U,관광특구,3001493,동대문패션타운 관광특구,3418870,1617046,1801825,182494,618819,818283,662903,526843,609528,701521,683446,521687,512176,587790,412248,520582,540938,546081,547095,512377,377450,374347
20224,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,7629595,3717728,3911867,365427,1301955,1839034,1667878,1216256,1239044,481664,1556366,1853219,1851308,1478804,408233,1103048,1241705,1251450,1267499,1240066,864591,661235
20224,U,관광특구,3001491,이태원 관광특구,2161642,1085212,1076430,141845,531363,530575,365423,267728,324707,425346,381950,301082,327875,442474,282916,284765,280562,285830,293022,321708,372454,323301
20224,R,전통시장,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",62192,29346,32848,2326,9614,15415,13196,10194,11448,14409,12470,9327,8529,9368,8089,9966,10389,10370,10369,9164,5673,6263
20224,R,전통시장,3130326,고덕 골목형상점가,147922,68449,79473,29457,13415,23437,27541,20258,33816,36792,32952,17676,17532,24725,18245,21245,21160,21093,21445,21322,20927,20731
20224,R,전통시장,3130325,명일전통시장,296251,130055,166196,53697,30849,39736,47588,44109,80272,56199,55637,40958,43071,62570,37817,41788,41824,42288,40898,43584,42785,43084
20224,R,전통시장,3130324,길동복조리시장,555117,251495,303620,86062,61442,80348,86276,85148,155842,159055,110072,62544,61796,88188,73460,80137,79512,78566,78555,77895,79492,80962
20224,R,전통시장,3130323,둔촌역전통시장,307805,151007,156799,42926,39072,39243,49998,52443,84124,86950,62397,33339,34612,50521,39987,43813,43298,43882,43353,44281,44643,44538
20224,R,전통시장,3130322,고분다리전통시장,160170,79866,80303,18361,19992,25387,22355,29090,44984,47708,32754,16899,16564,24924,21322,22752,22251,22133,22142,22250,23702,24941
20224,R,전통시장,3130321,장신구 특화거리 상점가,208585,97603,110982,40260,23788,29884,35951,33505,45195,42096,43178,31283,30040,37922,24065,30399,30451,30460,30923,30294,27717,28343
20224,R,전통시장,3130320,암사종합시장,195471,94792,100679,19787,24737,32265,33804,34699,50181,37982,36446,26050,29153,41337,24502,27569,27649,27491,27636,28013,29271,27844
20224,R,전통시장,3130319,성내전통시장,675597,327230,348366,109757,74573,107292,105198,105496,173282,185603,132377,71910,77740,118513,89455,95264,91085,92049,91370,92127,104496,109204
20224,R,전통시장,3130318,로데오거리상점가,484392,226164,258227,35887,103913,95099,73977,73966,101551,71047,78915,75861,86516,113022,59031,63161,63979,64781,64884,71529,80216,75841
20224,R,전통시장,3130317,마천중앙시장,687262,332854,354407,92354,68561,89573,95436,118556,222781,184855,138416,79420,79911,116134,88527,97931,95249,94709,94377,94080,103461,107456
20224,R,전통시장,3130316,마천시장,82814,39900,42915,10969,8526,10694,11999,14269,26357,23328,16468,9285,9043,13540,11151,11885,11600,11566,11543,11465,12334,12422
20224,R,전통시장,3130315,문정동 로데오거리 상점가(문정동 로데오거리),666923,319710,347213,96379,102254,131486,107478,98495,130830,156144,138751,90448,90549,113371,77659,99055,99859,98951,98863,97848,86999,85347
20224,R,전통시장,3130314,풍납시장,1402326,644802,757524,185378,153514,219684,215414,228983,399353,380543,282084,153511,155428,239383,191376,199007,196331,193766,192781,196032,210916,213493
20224,R,전통시장,3130313,방이시장,1054077,483194,570884,137415,152720,221141,178032,148553,216215,319241,220571,112275,108345,156412,137232,151671,149055,148460,148070,148522,152608,155691
20224,R,전통시장,3130312,석촌시장,335624,160926,174697,56864,37683,67691,60060,46532,66794,69179,63762,45626,47642,66744,42669,47669,47356,47868,47867,48071,49220,47572
20224,R,전통시장,3130311,새마을시장,879751,414313,465437,148126,135777,156208,153267,121554,164819,207230,162529,104286,114016,174196,117494,122659,123059,122937,123011,126959,135722,125403
20224,R,전통시장,3130310,강남개포시장,214445,96265,118179,48603,22649,23236,37035,33037,49887,26409,42973,38086,41426,46795,18757,30193,30641,31231,31074,31731,30642,28931
20224,R,전통시장,3130309,은마종합상점가,2778,1316,1461,205,67,46,707,815,937,357,454,428,532,670,336,403,404,410,408,427,430,298
20224,R,전통시장,3130308,청담삼익시장,24363,12686,11677,1980,3275,5580,5389,3904,4234,4223,5685,4045,3930,3936,2544,3507,3823,3854,3820,3831,3041,2486
20224,R,전통시장,3130307,도곡시장,90786,41112,49676,31345,7301,7992,20490,12412,11247,11564,16106,12451,16223,22293,12148,12260,12400,12539,12335,12471,14550,14233
20224,R,전통시장,3130306,강남언주로,288505,144692,143812,11493,59672,88583,61419,35345,31993,71224,63932,42297,39391,40878,30784,43136,45062,44681,44921,42338,34869,33497
20224,R,전통시장,3130305,논현종합시장,32784,16701,16081,2271,6271,9323,6807,3929,4182,5506,7092,5351,5467,5983,3386,4843,5050,5018,5044,4898,4009,3921
20224,R,전통시장,3130304,신사상가,21182,9501,11680,5900,1656,1757,3951,3033,4884,7539,4190,2084,2072,2486,2811,3137,3137,3144,3132,3166,2830,2636
20224,R,전통시장,3130303,영동전통시장,426825,215586,211238,21939,101165,108163,83008,53137,59411,74478,78995,61610,63236,93769,54739,59799,64287,64806,65848,67493,56924,47670
20224,R,전통시장,3130302,강남시장(강남구 강남시장),57132,27438,29695,4257,14315,13936,10751,7187,6685,7354,10173,9903,10422,13087,6193,7971,8517,8589,8732,8991,8030,6303
20224,R,전통시장,3130301,양재시장,78466,38148,40318,10191,11675,18150,13727,9930,14793,13996,16438,12781,12127,14627,8498,11460,12086,12213,12042,11952,9568,9145
20224,R,전통시장,3130296,남부종합시장,35790,16837,18953,6731,4049,4471,7265,5704,7570,13845,6948,2903,2741,4195,5158,5091,5085,5087,5060,5049,5197,5221
20224,R,전통시장,3130295,인헌시장(원당종합시장),277916,128634,149283,28833,57634,54118,38973,39282,59077,60117,50058,31874,36286,59150,40431,39239,38349,38410,38376,39048,42108,42386
20224,R,전통시장,3130294,관악중부시장,413289,193967,219322,67759,72619,62629,57592,54144,98546,86199,84871,58837,59492,75381,48511,59581,59260,59106,58994,59932,58234,58181
20224,R,전통시장,3130293,봉천중앙시장,106113,50787,55326,10104,25395,19388,14741,13965,22523,13948,19807,17258,18561,24881,11660,15082,15001,14809,14878,15215,15876,15254
20224,R,전통시장,3130292,봉천현대시장,117814,54162,63652,24627,13689,18771,20554,14105,26068,21368,22473,16678,18272,25502,13522,16358,15881,16064,16073,16094,18755,18590
20224,R,전통시장,3130291,봉천제일종합시장,22292,10664,11628,1653,6215,4321,2519,2855,4731,5523,4289,2597,2678,4111,3095,3143,3128,3115,3123,3150,3297,3336
20224,R,전통시장,3130290,영림시장,569600,268453,301145,50981,140757,103458,67808,74002,132594,135503,116065,67098,69182,105027,76724,81276,81689,82138,81717,81792,80910,80076
20224,R,전통시장,3130289,봉일시장,63170,30108,33061,7055,12052,11003,8810,9584,14666,13566,11949,7579,8160,12971,8945,9018,8915,8774,8786,8724,9348,9605
20224,R,전통시장,3130288,신림현대종합상가,12908,6341,6567,1305,2511,2215,1859,1858,3161,3095,2504,1390,1605,2493,1821,1780,1745,1766,1756,1732,2026,2102
20224,R,전통시장,3130287,삼성동 시장(삼성동시장),1255873,650386,605487,98824,293638,224523,168160,166011,304718,270473,236081,158657,167689,254182,168789,179721,179534,179343,177557,179622,180305,179791
20224,R,전통시장,3130286,신신림시장(삼성동시장),116339,60128,56211,9331,27030,20730,15378,15174,28697,25983,21481,13975,14463,24003,16434,16572,16541,16556,16348,16608,16740,16972
20224,R,전통시장,3130285,서원동상점가,946521,498631,447889,71422,335009,193161,120016,98113,128800,137105,148688,126177,151716,239652,143183,125189,123532,128515,129584,141325,155571,142804
20224,R,전통시장,3130284,관악종합시장(신원시장),76568,39985,36584,4389,23822,16062,9908,9042,13344,20447,13487,7851,8680,13968,12134,10226,9894,10118,10226,10699,12634,12775
