기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20221,D,발달상권,3120032,충무로역,CS300002,편의점,2568617603,388871,2053294019,515323584,395161102,407363859,403941910,442720171,404106977,296403906,218919678,159639516,507098903,398407393,363321401,690058358,450092032,1639444713,733370537,16629839,561487795,583817647,531011473,472741709,207126790,314316,74555,60786,62407,62462,67448,61213,41845,32710,20754,93601,70452,56875,92704,54485,249988,122351,4162,98012,97480,73989,68838,29859
20221,D,발달상권,3120021,시청역_8번,CS300002,편의점,589412178,110141,589412178,0,124018062,106528026,109604565,135248042,114013483,0,0,0,192566604,162233274,147578324,86844186,189790,373727390,117401748,738700,74576627,186198394,157328881,62755382,9531156,110141,0,22809,20807,20861,24156,21508,0,0,0,37348,32592,26020,14151,30,76609,27998,251,19791,40505,30336,11441,2282
20221,D,발달상권,3120014,종로5가역,CS300002,편의점,1229403942,189601,1010279193,219124749,200367467,198561681,204184238,205627901,201537906,131418828,87705921,67447500,295763682,203346582,184340450,303223452,175282276,802941029,354269486,7368516,210003947,342351448,301811788,208417840,87256976,159829,29772,31647,30620,31878,33787,31897,17241,12531,7933,56941,35788,27913,40782,20244,125261,59020,1800,38023,56027,45487,30258,12686
20221,D,발달상권,3120028,명동(명동거리),CS300002,편의점,2457027151,442739,1841040086,615987065,361230434,338732798,355241640,397970550,387864664,356437644,259549421,104077775,536731819,454133826,382142448,636879837,343061446,1479522120,853108086,10246562,638051838,720132816,531983665,307365283,124850047,338028,104711,66942,63173,65125,73232,69556,58259,46452,13196,119333,90218,72140,103334,44518,264129,167508,2277,126062,136166,92724,53621,20787
20221,D,발달상권,3120056,구의역,CS300002,편의점,2310296405,342339,1670603879,639692526,341441426,321328105,325439375,339448084,342946889,339895527,299796999,193204011,296980266,261116238,284604324,685582125,588809441,1480919633,817926715,25464220,647278310,761200056,394447712,323398749,147057301,250655,91684,50735,49776,49256,51233,49655,48489,43195,26202,53894,43967,46744,96770,74762,219402,122295,4655,104967,111835,55386,43559,21295
20221,A,골목상권,3110144,어린이대공원역 4번,CS300002,편의점,170770404,25520,118284972,52485432,23488127,21481060,21820250,26227740,25267795,28466084,24019348,21534401,13992974,15218638,21004173,46653810,52366408,112758904,58011500,938909,92513327,42700402,15452866,14160396,5004504,17802,7718,3583,3483,3359,3825,3552,4162,3556,2889,2544,2680,3373,7247,6787,16197,9323,203,14563,6505,1839,1843,567
20221,D,발달상권,3120063,청량리역(청량리),CS300002,편의점,2307969627,318410,1621725201,686244426,308416076,338886417,334099215,291644274,348679219,347486994,338757432,215942696,347400083,233700771,275420024,629402336,606103717,1541029707,747023877,12027153,642820213,644629709,479319451,330416943,178840116,227004,91406,44655,45605,45637,45060,46047,46769,44637,25417,57138,41545,43193,82691,68426,210093,107500,2781,95689,85092,58261,52977,22793
20221,A,골목상권,3110195,동대문구청,CS300002,편의점,471268027,62974,331955669,139312358,67110249,63590318,66958661,66579089,67717352,72846837,66465521,55534046,69337672,53384097,53716288,135447983,103847941,317039088,154228939,4155339,132274696,159561300,87668199,61965321,25643172,45429,17545,9123,8771,9318,9362,8855,8901,8644,6359,10483,8579,7783,17063,12707,41364,21610,281,19300,21147,9891,8280,4075
20221,D,발달상권,3120065,회기역,CS300002,편의점,1047760095,163429,726145683,321614412,145212180,144682108,142293429,143592343,150365623,173361879,148252533,118501132,100981992,84855868,118432561,310199493,314789049,644838534,402921561,13982048,471784598,270230947,113323362,122060885,56378255,114448,48981,22893,22754,22956,22815,23030,26513,22468,15287,19014,16730,20639,49168,42591,97678,65751,2937,78465,38957,16047,18333,8690
20221,A,골목상권,3110243,중랑노인종합복지관,CS300002,편의점,491263335,54336,350473170,140790165,62609972,77371115,75895753,63305445,71290885,73591515,67198650,58609991,61938872,48894564,61027356,145687546,115105006,347741376,143521959,1421440,56870775,129292661,164097256,88605673,50975530,38835,15501,7229,7794,7904,7848,8060,8245,7256,5845,7679,6218,7133,15651,11810,36883,17453,391,8698,14809,15707,11052,3679
20221,R,전통시장,3130106,중랑동부시장,CS300002,편의점,635643094,80422,432120067,203523027,91250319,81034864,84022442,85986672,89825770,105541865,97981162,81787833,65970137,68947114,81627449,181520769,155789792,414333603,221309491,5230003,158301888,167217674,129682962,111539676,63670891,54853,25569,11409,10496,10689,10967,11292,13243,12326,9260,10556,9748,9931,23538,17389,55042,25380,1383,24930,19886,15908,12990,5325
20221,A,골목상권,3110246,월드순복음교회,CS300002,편의점,645752531,83428,462066483,183686048,91449935,94632850,85109901,86071581,104802216,97235540,86450508,77998884,108832232,73779815,67037523,154088493,164015584,460602465,185150066,4484243,158466999,187119560,155900135,100536306,39245288,59038,24390,11931,12327,11388,11389,12003,12951,11439,9295,15278,10245,9723,20619,18268,59738,23690,870,23077,23821,18154,12784,4722
