상권_코드_명,시간대_매출금액
가로수길,300510475.6666667
강남 마이스 관광특구,365593137.1969697
강남개포시장,116441637.16666667
"강남구청(청담역_8번, 강남세무서)",425976450.9848485
강남구청역,517382876.72727275
강남세브란스병원미래의학연구센터,34210312.46969697
강남을지병원,686030882.060606
개나리아파트,420371541.54545456
개포고등학교,47909541.984848484
경기고교사거리(경기고교앞사거리),103314322.6969697
경복아파트교차로,581943682.0454545
구역삼세무서,530249909.8484849
국악고교사거리,155825113.53030303
논현로18길,65711833.60606061
논현목련공원,44078536.64814815
논현역,698838313.0909091
논현초등학교,361536082.1212121
대청초등학교,502405291.24242425
대치동아우편취급국,84083707.10606061
대치사거리,194040298.5909091
대치역,132993558.53030303
도곡1동,238336843.1818182
도곡초등학교,210419855.5909091
도산공원교차로,268911137.8787879
도성초등학교,146260330.53030303
르네상스호텔사거리,333003302.6969697
매봉역,189781298.36363637
매봉역 1번,177764782.9
뱅뱅사거리,1224216797.3939395
봉은사역,168179382.72727272
봉은사역 4번,60137465.833333336
삼성역,619969934.2575758
삼성중앙역,475008582.030303
서울세관,278184481.2878788
선릉역,1735717876.6363637
선정릉역,531976884.06060606
선정릉역 4번,313949845.0
성수대교남단,93229712.01515152
수서역,741732818.939394
신논현역,1223650992.5151515
압구정로데오역(압구정로데오),371856299.3787879
압구정역,364292206.1212121
언북중학교,153232076.28787878
언북초등학교,54910913.84848485
언주역 3번,120910343.07575758
언주역 6번,91440134.37878788
언주역(차병원),576702860.030303
역삼역,2797424980.5151515
역삼역 8번,45037828.6875
영동대교남단교차로,249881232.8030303
윗방죽마을공원,251376136.36363637
은마아파트,773107248.030303
청담사거리(청담동명품거리),562705748.5151515
코엑스,156546730.95454547
포스코사거리,844866996.7121212
포이초등학교(개포목련어린이공원),144064121.72727272
학동사거리,573015777.6060606
학동역,693161591.6818181
한남IC,146949114.07142857
한티역,262777959.93939394
휘문고교사거리,29202549.954545453
