시간대_매출금액,기준_년,기준_분기,상권_코드,행정동_코드,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,시간대_레이블,상권_구분_코드_레이블
605774191.0,2021,1,3110955,11680521.0,344558.0,411342.0,387722.5,3430.0,7026.0,4495.0,12.0,2909460.0,6.0,4481561126.0,6,1
531497598.0,2021,1,3110955,11680521.0,433632.0,411342.0,387722.5,3430.0,7026.0,4495.0,12.0,2909460.0,6.0,4481561126.0,5,1
230188421.0,2021,1,3110955,11680521.0,342564.0,411342.0,387722.5,3430.0,7026.0,4495.0,12.0,2909460.0,6.0,4481561126.0,4,1
192457360.0,2021,1,3110955,11680521.0,351383.0,411342.0,387722.5,3430.0,7026.0,4495.0,12.0,2909460.0,6.0,4481561126.0,3,1
222467605.0,2021,1,3110955,11680521.0,621019.0,411342.0,387722.5,3430.0,7026.0,4495.0,12.0,2909460.0,6.0,4481561126.0,2,1
377166450.0,2021,1,3110955,11680521.0,738999.0,411342.0,387722.5,3430.0,7026.0,4495.0,12.0,2909460.0,6.0,4481561126.0,1,1
164133614.0,2021,1,3110957,11680531.0,78120.0,129963.8,86419.5,1251.0,1761.0,1088.0,7.0,3496418.0,7.0,1591782820.0,6,1
178983557.0,2021,1,3110957,11680531.0,133464.0,129963.8,86419.5,1251.0,1761.0,1088.0,7.0,3496418.0,7.0,1591782820.0,5,1
85082196.0,2021,1,3110957,11680531.0,134846.0,129963.8,86419.5,1251.0,1761.0,1088.0,7.0,3496418.0,7.0,1591782820.0,4,1
98977982.0,2021,1,3110957,11680531.0,138575.0,129963.8,86419.5,1251.0,1761.0,1088.0,7.0,3496418.0,7.0,1591782820.0,3,1
87337402.0,2021,1,3110957,11680531.0,174833.0,129963.8,86419.5,1251.0,1761.0,1088.0,7.0,3496418.0,7.0,1591782820.0,2,1
84038340.0,2021,1,3110957,11680531.0,162820.0,129963.8,86419.5,1251.0,1761.0,1088.0,7.0,3496418.0,7.0,1591782820.0,1,1
124207062.0,2021,1,3110961,11680531.0,111362.0,153395.2,128697.5,962.0,2120.0,1314.0,1.0,3318129.0,7.0,1444220522.0,6,1
180175416.0,2021,1,3110961,11680531.0,180573.0,153395.2,128697.5,962.0,2120.0,1314.0,1.0,3318129.0,7.0,1444220522.0,5,1
92260126.0,2021,1,3110961,11680531.0,157921.0,153395.2,128697.5,962.0,2120.0,1314.0,1.0,3318129.0,7.0,1444220522.0,4,1
91744235.0,2021,1,3110961,11680531.0,156554.0,153395.2,128697.5,962.0,2120.0,1314.0,1.0,3318129.0,7.0,1444220522.0,3,1
71172032.0,2021,1,3110961,11680531.0,212115.0,153395.2,128697.5,962.0,2120.0,1314.0,1.0,3318129.0,7.0,1444220522.0,2,1
52563116.0,2021,1,3110961,11680531.0,205847.0,153395.2,128697.5,962.0,2120.0,1314.0,1.0,3318129.0,7.0,1444220522.0,1,1
119635665.0,2021,1,3110965,11680640.0,93549.0,130408.2,102239.5,1139.0,2245.0,1500.0,0.0,3218797.0,7.0,1570369626.0,6,1
138515818.0,2021,1,3110965,11680640.0,142251.0,130408.2,102239.5,1139.0,2245.0,1500.0,0.0,3218797.0,7.0,1570369626.0,5,1
85477304.0,2021,1,3110965,11680640.0,128820.0,130408.2,102239.5,1139.0,2245.0,1500.0,0.0,3218797.0,7.0,1570369626.0,4,1
75795168.0,2021,1,3110965,11680640.0,131757.0,130408.2,102239.5,1139.0,2245.0,1500.0,0.0,3218797.0,7.0,1570369626.0,3,1
72557094.0,2021,1,3110965,11680640.0,185224.0,130408.2,102239.5,1139.0,2245.0,1500.0,0.0,3218797.0,7.0,1570369626.0,2,1
62101570.0,2021,1,3110965,11680640.0,174918.0,130408.2,102239.5,1139.0,2245.0,1500.0,0.0,3218797.0,7.0,1570369626.0,1,1
429160889.0,2021,1,3110971,11680640.0,112722.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0,6,1
505553547.0,2021,1,3110971,11680640.0,144801.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0,5,1
219028437.0,2021,1,3110971,11680640.0,129215.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0,4,1
220179086.0,2021,1,3110971,11680640.0,135055.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0,3,1
189463290.0,2021,1,3110971,11680640.0,222884.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0,2,1
256550159.0,2021,1,3110971,11680640.0,264777.0,150564.2,128317.0,1542.0,3870.0,2549.0,1.0,3432046.0,7.0,3043232760.0,1,1
49799528.0,2021,1,3110972,11680650.0,34757.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0,6,1
67679469.0,2021,1,3110972,11680650.0,38404.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0,5,1
33548247.0,2021,1,3110972,11680650.0,34330.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0,4,1
32037081.0,2021,1,3110972,11680650.0,38283.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0,3,1
18850470.0,2021,1,3110972,11680650.0,68939.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0,2,1
2895574.0,2021,1,3110972,11680650.0,84807.0,44072.0,39578.5,2628.0,1921.0,1003.0,4.0,3347336.0,7.0,1056500384.0,1,1
74814495.0,2021,1,3110976,11680565.0,82547.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0,6,1
104152568.0,2021,1,3110976,11680565.0,132153.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0,5,1
46334496.0,2021,1,3110976,11680565.0,113285.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0,4,1
42820807.0,2021,1,3110976,11680565.0,117052.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0,3,1
53288495.0,2021,1,3110976,11680565.0,158071.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0,2,1
17401505.0,2021,1,3110976,11680565.0,159516.0,112943.2,98954.0,578.0,2022.0,1080.0,2.0,3250531.0,7.0,1119489213.0,1,1
81282763.0,2021,1,3110977,11680690.0,14343.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0,6,1
98926052.0,2021,1,3110977,11680690.0,21946.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0,5,1
42040988.0,2021,1,3110977,11680690.0,18269.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0,4,1
50090671.0,2021,1,3110977,11680690.0,18788.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0,3,1
48195964.0,2021,1,3110977,11680690.0,26072.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0,2,1
31470193.0,2021,1,3110977,11680690.0,25924.0,18904.0,15411.0,148.0,691.0,340.0,0.0,2809700.0,6.0,275630230.0,1,1
184177501.0,2021,1,3110981,11680690.0,57788.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0,6,1
239666796.0,2021,1,3110981,11680690.0,81717.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0,5,1
121844507.0,2021,1,3110981,11680690.0,58999.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0,4,1
112238086.0,2021,1,3110981,11680690.0,60672.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0,3,1
132615842.0,2021,1,3110981,11680690.0,87651.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0,2,1
89328369.0,2021,1,3110981,11680690.0,101850.0,65602.2,60333.5,361.0,2118.0,907.0,4.0,3081543.0,7.0,895864770.0,1,1
164916498.0,2021,1,3110984,11680690.0,100496.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0,6,1
223968645.0,2021,1,3110984,11680690.0,101596.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0,5,1
100267167.0,2021,1,3110984,11680690.0,83970.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0,4,1
124985929.0,2021,1,3110984,11680690.0,100964.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0,3,1
93341764.0,2021,1,3110984,11680690.0,211684.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0,2,1
62575582.0,2021,1,3110984,11680690.0,310492.0,130664.0,127941.0,1556.0,4267.0,1912.0,9.0,3091267.0,7.0,1995713025.0,1,1
125837554.0,2021,1,3110989,11680630.0,72766.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,6,1
141488827.0,2021,1,3110989,11680630.0,122972.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,5,1
61952211.0,2021,1,3110989,11680630.0,107589.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,4,1
53641966.0,2021,1,3110989,11680630.0,109826.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,3,1
51740344.0,2021,1,3110989,11680630.0,144916.0,107006.0,86405.0,444.0,1588.0,904.0,2.0,3616235.0,7.0,1239122785.0,2,1
