상권_코드_명,시간대_매출금액_평균,상권_코드,행정동_코드,행정동_코드_명,geometry,center_point,latitude,longitude
가로수길,300510475.6666667,3120186,11680510,신사동,"POLYGON ((127.02334849015027 37.5226550587485, 127.0234189215499 37.52219707865853, 127.02373003175077 37.5223546938353, 127.02395608542928 37.522469213394395, 127.02435557214194 37.521971679085944, 127.02434916947935 37.5219684638263, 127.02409115696763 37.52183878855724, 127.02406258777606 37.52182443149608, 127.02448694027889 37.5213029889164, 127.02450707984757 37.52124226615714, 127.02452214385924 37.52119610555499, 127.0248174159433 37.520953057820016, 127.02502086672328 37.52082086930376, 127.02518905174574 37.52071000388795, 127.0251294251621 37.520526150719235, 127.0251850482949 37.52049766717793, 127.02481317611145 37.520498588325694, 127.02479747725465 37.520498627662846, 127.024720227537 37.520478980367464, 127.02447665769125 37.520417032179004, 127.02432271140306 37.52044972353775, 127.0245516320789 37.51993501243884, 127.02466478454582 37.51968059424952, 127.02498811987823 37.51970655986929, 127.02525996658717 37.51974507758959, 127.0253196408479 37.51975623815146, 127.02540560124794 37.519729002191596, 127.02533409331456 37.51938916908845, 127.02560935439153 37.51867054256125, 127.02561213566902 37.51866307804728, 127.02527939567398 37.51852365100103, 127.02417006237896 37.51805879792635, 127.02341145112963 37.517740901044256, 127.02338513794803 37.51772987347035, 127.02323946585507 37.517668830409484, 127.02277416273905 37.5174738393873, 127.02270205911334 37.517443623701645, 127.02227442194533 37.51726441624614, 127.02191460555127 37.51711362764005, 127.02190729739844 37.517110564682895, 127.02117715712907 37.51680459992468, 127.02079663248203 37.517374455841825, 127.02167378612589 37.517739235162885, 127.02140848701255 37.518133538293384, 127.02114266724564 37.518528606747935, 127.02066629928254 37.519236587667486, 127.02043088615292 37.519627838780714, 127.02014338197 37.520072642202486, 127.02046500830468 37.52023571621378, 127.02079876055228 37.51981290638185, 127.02108134481747 37.519955073309696, 127.02075080803996 37.52038062241402, 127.020824085299 37.5204177758906, 127.02050421551287 37.52081359109612, 127.02050212348156 37.52081617733769, 127.02007853970656 37.521340317534694, 127.02026927645156 37.52171585716866, 127.02029649537039 37.52176796739651, 127.01995322132335 37.52219926472482, 127.0195623315521 37.522690295485, 127.01958578187624 37.522702314577835, 127.0203260758356 37.523081752161964, 127.02047053336237 37.52315579142649, 127.02072690431443 37.52328719307614, 127.02075537055617 37.523301820358476, 127.02076460170744 37.52330651205816, 127.0209841482638 37.52341825433317, 127.02104227871428 37.523446661610514, 127.02119877268687 37.52352747337342, 127.02121308500377 37.523534497722245, 127.02171506268522 37.523786845769706, 127.02190271637954 37.52387957923343, 127.02205615775253 37.52395642600943, 127.022181493668 37.524019185287735, 127.02224694710141 37.524053267809904, 127.02238869110089 37.52412726828562, 127.02264997874792 37.5242634977831, 127.02272013941788 37.52430007491536, 127.02295687811984 37.52442336915461, 127.02306858156926 37.52447514691659, 127.02319517813498 37.52454468040487, 127.0234333771191 37.52466602813284, 127.02367167867452 37.524787329406124, 127.02369636585648 37.524799964617, 127.02383256007191 37.524869316192614, 127.02390992446371 37.52490871129748, 127.02395133367766 37.524926813053256, 127.02433989748583 37.52443247166749, 127.02452626702777 37.52419537397866, 127.02471649135924 37.523953365617494, 127.02447678697256 37.52383235504651, 127.02426203158835 37.52372393577962, 127.02404734018636 37.52361554944419, 127.02384068710333 37.52351122101143, 127.02367701648636 37.52342859055909, 127.02326177482863 37.523218953018656, 127.02330498362949 37.52293797405492, 127.02334849015027 37.5226550587485))",POINT (127.02257440945728 37.52077108251097),37.52077108251097,127.02257440945728
강남 마이스 관광특구,365593137.1969697,3001496,11680580,삼성1동,"POLYGON ((127.05960067207161 37.50777146471017, 127.05944204054326 37.50772280478717, 127.05909629042826 37.50835460964303, 127.05853771222978 37.50937529716176, 127.05829230911355 37.50982371422867, 127.05806759237075 37.51023432615209, 127.0573877449165 37.51147652981472, 127.05682252383936 37.512509265557945, 127.05641005053613 37.51326288464405, 127.05624972032852 37.5135558144223, 127.05631864944237 37.513567649600894, 127.05665067155738 37.51361993195796, 127.0569841437845 37.513670169204666, 127.05731486362079 37.51373110987032, 127.05764703971634 37.51378615633299, 127.05797927282669 37.51384116669367, 127.05831174602554 37.51390755928366, 127.0583934177902 37.513923868552425, 127.05858307883814 37.513956428820315, 127.05886401460327 37.514004658641156, 127.05903898889966 37.51403469637685, 127.05921468960614 37.5140648587285, 127.05939190634653 37.514095282248434, 127.05956781775124 37.51412548000858, 127.0595858761116 37.51412858026445, 127.06022606365077 37.5142384825846, 127.06044346079145 37.51379234579849, 127.06060180110933 37.51350332622809, 127.06075898616103 37.51321390067315, 127.06085975959552 37.51303374079941, 127.06092153402437 37.512926347118814, 127.06160150901862 37.51168820492148, 127.06191524390368 37.51111346327182, 127.06224719131559 37.51050534604528, 127.06275892355127 37.50956804235082, 127.06291797124918 37.509279280390444, 127.06308326169686 37.50899266917048, 127.06315648536464 37.5088659397836, 127.06315853855376 37.50886235178639, 127.06196958714465 37.50849778901007, 127.06186323830136 37.508465179730514, 127.06072025403694 37.50811476388425, 127.06068669857031 37.508104476336925, 127.05960067207161 37.50777146471017))",POINT (127.0597372303084 37.51108529927061),37.51108529927061,127.0597372303084
강남개포시장,116441637.16666669,3130310,11680670,개포2동,"POLYGON ((127.0672993343215 37.48831999581941, 127.0665470732447 37.488088117805276, 127.06651454240749 37.48815301499164, 127.06608684259423 37.4890062092777, 127.0660285370167 37.48912242681313, 127.06685107550234 37.48922892196408, 127.069026959856 37.48954361713766, 127.06919886435377 37.48918880340659, 127.0693100216643 37.48895937954926, 127.06930945727323 37.48895920958991, 127.06796156500432 37.488530588597264, 127.0672993343215 37.48831999581941))",POINT (127.06759565140312 37.48889517240173),37.48889517240173,127.06759565140312
"강남구청(청담역_8번, 강남세무서)",425976450.9848485,3120209,11680565,청담동,"POLYGON ((127.04991492468986 37.52121996508379, 127.05019006368931 37.52070833025786, 127.05043016490905 37.52026283341791, 127.05044578921476 37.52023280532782, 127.05049702685739 37.52013862141675, 127.05078894552888 37.51959633391486, 127.0511181643985 37.51898476308826, 127.05124531814032 37.51900758986391, 127.05147412919801 37.51904862296242, 127.05176673022474 37.51910109384193, 127.05260386447898 37.51925121040947, 127.05274413100415 37.51874250546413, 127.05280187265186 37.51853308742791, 127.05296216563552 37.517951720809, 127.05283848144131 37.51792906551571, 127.05229730853168 37.51782993201578, 127.05242993014998 37.51755730890329, 127.0519636782187 37.51738466466333, 127.05203173881853 37.51725586149564, 127.05212784204686 37.51707398582208, 127.05234092652009 37.51667072047665, 127.05190671458203 37.516522924072376, 127.05152051450008 37.51639144123, 127.05151720400187 37.51639031732056, 127.05151846225996 37.51638764709831, 127.05151964031768 37.51638513819065, 127.05156441904906 37.51629002313366, 127.05099235845329 37.516103394340185, 127.05076762661311 37.51603749714005, 127.0501859694336 37.51586693885661, 127.05005220160822 37.51612814520084, 127.04994676731447 37.51633402319338, 127.04994414082604 37.51633915191515, 127.04997474889792 37.51634666234828, 127.05012033502783 37.51639592339606, 127.05029989504287 37.51645664948666, 127.0504608811184 37.51651111135478, 127.05063922204062 37.51657143920544, 127.05070187811975 37.516592631859716, 127.05111690780755 37.516733027538635, 127.05130677532047 37.51679042022754, 127.05129831609216 37.5168062247995, 127.05131285457213 37.51681090820738, 127.05126645151346 37.51690199187542, 127.05111115668606 37.517206830793945, 127.0510620476393 37.51730323146662, 127.05098167200751 37.51746100034239, 127.05097679078374 37.51747058011492, 127.05097351931472 37.51747700387876, 127.05074015332707 37.51793503930083, 127.05072729773077 37.517960272013866, 127.05065690925136 37.51809845485782, 127.05028176919247 37.51883478793693, 127.05021747424333 37.51882328154913, 127.04976280898246 37.51874173587674, 127.0491315719974 37.51862851698841, 127.0489502354927 37.518595993083686, 127.04894808261155 37.51859560744554, 127.04888508114007 37.51858430522454, 127.04829731269643 37.51847888097876, 127.0479883691829 37.518423480778914, 127.04798718470778 37.5184232686234, 127.04635274416337 37.5181301654673, 127.04647007678287 37.51771209437274, 127.04655409351716 37.517412794822775, 127.04597551790572 37.5173090438552, 127.04595812218705 37.51730592414336, 127.04594990851318 37.51733303943238, 127.04587268931235 37.517605342757896, 127.04580473830481 37.51759817101317, 127.04573012989022 37.51787187608313, 127.04569559506652 37.518012312616456, 127.04507135833721 37.517900359539674, 127.04506815427318 37.51791440650295, 127.04506736468561 37.517914350942014, 127.04496155116733 37.51829381906927, 127.04487035281336 37.518620867466964, 127.04522543455403 37.51868392840388, 127.04530877083216 37.518403517778914, 127.0459888311628 37.518515583919104, 127.04590141750506 37.51880397678765, 127.0458062557201 37.5187870775749, 127.04574795745394 37.51877672601913, 127.04565062360167 37.51912331471981, 127.04570512200259 37.51913289293077, 127.04608936141307 37.519200430577044, 127.0459932296464 37.519535521365725, 127.04598414188064 37.519563532584336, 127.04618166582407 37.51959814954113, 127.0468039946516 37.51970721065556, 127.04657550994223 37.51892368506995, 127.04668423644551 37.5189429929902, 127.04711901178437 37.51902019759246, 127.04761532912413 37.51910833019518, 127.04792625076512 37.51886211976112, 127.04835655720608 37.519229676185674, 127.04815847201915 37.51936732587434, 127.04801856985063 37.51992484062302, 127.04869304639212 37.520045688119055, 127.0484631015496 37.520393040943425, 127.04832287787652 37.52087420060126, 127.04831081869706 37.52091558048622, 127.04898046376388 37.52114137259693, 127.04908711068022 37.52094180395009, 127.04991492468986 37.52121996508379))",POINT (127.04950679108644 37.51874512358759),37.51874512358759,127.04950679108644
강남구청역,517382876.7272728,3120203,11680531,논현2동,"POLYGON ((127.0409780614062 37.519416514476994, 127.04121859318136 37.51877329383522, 127.04159899669891 37.51886354460483, 127.04171351399565 37.51856270790149, 127.04184308681319 37.51822232971568, 127.04189453948204 37.51808716278564, 127.04216329487066 37.51738115175083, 127.04216410690856 37.51737890345748, 127.0424220405436 37.516671751338464, 127.04255120882708 37.51631761769308, 127.0426306133446 37.51609992011032, 127.0426442912298 37.516062418105975, 127.04271195765995 37.51587690133838, 127.04271898008726 37.51585764885614, 127.04291726107957 37.51531402038021, 127.04331389446666 37.515408395392406, 127.04355710717307 37.51546626121514, 127.04374038420784 37.51495095179968, 127.04393619681964 37.514400393726554, 127.04405497779837 37.51406642122776, 127.04383680829312 37.51400226712645, 127.04343842771436 37.513885108098975, 127.04304850977192 37.513792859202574, 127.0425853044445 37.5136832785221, 127.04257421928185 37.51368065789356, 127.04171846731795 37.51347856440695, 127.04101684385964 37.51331287312269, 127.04084272214205 37.51378285569582, 127.04182922880683 37.51401307827098, 127.04147245185854 37.514958146281266, 127.04143689674684 37.51494895050123, 127.04097062203736 37.514828320083545, 127.04073130450053 37.5154823423631, 127.04060443446824 37.515452634001825, 127.04035352941251 37.516149655322664, 127.04000483681658 37.5160424788237, 127.04013741265653 37.51568491109649, 127.04025395974334 37.51537055179116, 127.03964371538729 37.515183044870305, 127.03933238884888 37.515835782871655, 127.0385296888655 37.5155890471976, 127.03780369085175 37.51536587972159, 127.03713478805827 37.515160258509646, 127.03714010789581 37.515952593181645, 127.0372693158152 37.516447011544976, 127.03737957640129 37.51686888782277, 127.0374809540941 37.51725678093676, 127.03863145337995 37.5175266608147, 127.03852795512756 37.517805200168624, 127.03891503697916 37.517897944189755, 127.03911975015193 37.51734827171364, 127.03946057329398 37.51745279637097, 127.03926457275652 37.517981697503984, 127.03960995852844 37.51806445106056, 127.03979583003775 37.51755561631893, 127.04016774452076 37.51766966917656, 127.0405454470034 37.51778549925648, 127.04037690054905 37.518248194263904, 127.04020042097854 37.51871657161954, 127.04001544429488 37.51918761852312, 127.04008620884775 37.519204236956284, 127.04049867236465 37.51930112797863, 127.04050021773821 37.519301445502826, 127.0409780614062 37.519416514476994))",POINT (127.04069134743949 37.51624819863873),37.51624819863873,127.04069134743948
강남세브란스병원미래의학연구센터,34210312.46969697,3110972,11680650,역삼2동,"POLYGON ((127.0415429752462 37.49557060388571, 127.041822031062 37.494966163233414, 127.0421633188555 37.495067796226095, 127.04236884409512 37.495128992960865, 127.04250367109341 37.49516914925535, 127.04286734356212 37.49527743960474, 127.04314341007627 37.494686584973365, 127.04348656563562 37.49478868289052, 127.04374667166849 37.494866067141494, 127.04377363506623 37.49487408512482, 127.04413476422044 37.494981525573834, 127.04428672569148 37.49502673709009, 127.04452447533096 37.49509746956341, 127.04512066216388 37.495274836308376, 127.04496708320606 37.49489867226601, 127.04477991786798 37.49444023087411, 127.04420705567945 37.49426462773946, 127.04391431906706 37.49417488490125, 127.04385314381148 37.49415612973946, 127.04370208611297 37.494109824402514, 127.04344912030497 37.494032279740736, 127.04309880589008 37.49392453589988, 127.04271421975241 37.49380624090905, 127.04269488529391 37.493800293142655, 127.0424842264224 37.49373549928364, 127.04240187051666 37.49371016822636, 127.04208952773493 37.49361409561479, 127.04120894703243 37.4937627802902, 127.04106777973479 37.49406595072579, 127.04079150939366 37.494659296432005, 127.0407122400415 37.49482954920187, 127.0405114496733 37.495260752695096, 127.04073490202987 37.49532787474638, 127.0409451739704 37.4953910374143, 127.04115269224529 37.49545337174022, 127.04131451556984 37.49550197953494, 127.0415429752462 37.49557060388571))",POINT (127.04251053481089 37.49455433678061),37.49455433678061,127.04251053481087
강남을지병원,686030882.060606,3120190,11680545,압구정동,"POLYGON ((127.0275422624558 37.52298805418911, 127.02827424087339 37.52296020332801, 127.02827674105238 37.52297254466287, 127.02827594411497 37.52296211484774, 127.02827579404288 37.522960132677966, 127.02898765328634 37.5229277663854, 127.02896986149494 37.52265959813588, 127.02938742551804 37.522643012034436, 127.0295959025981 37.52263473562555, 127.02969432325746 37.52263082940264, 127.02987650280488 37.52262359255721, 127.0304124168256 37.522602301136274, 127.03037460049522 37.52204372074181, 127.03085045127777 37.52202299778115, 127.03133313316137 37.52200198277041, 127.0313235336001 37.52169901773623, 127.03173009162616 37.520859428653765, 127.03173227756201 37.52085511676761, 127.0319950343005 37.520336369123, 127.0321127291522 37.5201040081532, 127.03238698973422 37.519562546660204, 127.031755844934 37.519362390807956, 127.0315883715826 37.519692946180186, 127.03095822392022 37.5194943805788, 127.03104265707209 37.51932775753437, 127.03053129936538 37.51916737891577, 127.02969159981005 37.51890401531953, 127.02972903929482 37.51884038696637, 127.02978893103239 37.51873859635451, 127.02988838699554 37.51856956374402, 127.02994904698065 37.518466475407266, 127.02996764216817 37.518434873407, 127.02955688378212 37.51831549216208, 127.02967284788416 37.518071886751564, 127.02969998803627 37.51808049442304, 127.03010128175066 37.51820773523755, 127.03025826424623 37.5179409305653, 127.03037028797749 37.51775052250615, 127.03042127055534 37.517663860791565, 127.03052186535008 37.51749289106766, 127.03057336642279 37.517405355176386, 127.02939440980506 37.51705169705409, 127.02949953395476 37.51682571268181, 127.02950530584485 37.51681328459953, 127.0294257913918 37.51678953956668, 127.0289595621839 37.516652148142846, 127.02860806949879 37.51654860577623, 127.02836096756093 37.517072375469, 127.0280568618014 37.51771698991698, 127.02764356157462 37.517658093271656, 127.02727734193152 37.518422299525795, 127.02692030781685 37.518272946440455, 127.02675962573316 37.51820573026472, 127.02645406719269 37.518077907981514, 127.02659262116416 37.51786569418254, 127.02619486222852 37.517699688498766, 127.02579908600227 37.51753450996066, 127.0261491298195 37.51701069769206, 127.02610124715662 37.516972207502334, 127.02581396353428 37.5167412965823, 127.02568791091107 37.51663997107554, 127.0255415139244 37.51652229301465, 127.02485960950716 37.517142414527214, 127.02465739577474 37.51732630306802, 127.02456617666478 37.51746341605671, 127.02417006237896 37.51805879792635, 127.02527939567398 37.51852365100103, 127.02561213566902 37.51866307804728, 127.02560935439153 37.51867054256125, 127.02533409331456 37.51938916908845, 127.02540560124794 37.519729002191596, 127.0253196408479 37.51975623815146, 127.02543778789793 37.519777981900454, 127.02555779183923 37.519764803151126, 127.02582377987316 37.519735584330405, 127.02585997670931 37.519731611997244, 127.02604107735601 37.51979641019075, 127.02626724514138 37.519893426971244, 127.02611570704381 37.520134636564215, 127.02599154834216 37.520332261119506, 127.02626950175582 37.520470646842824, 127.02651408536227 37.52059241860297, 127.02674087495075 37.520705330718144, 127.02642746191512 37.5211051699424, 127.02613994042105 37.52095734060975, 127.02586780724964 37.520817418009635, 127.0256903091221 37.52070877597583, 127.02526740121743 37.521148548513345, 127.02557542445317 37.52130790836419, 127.02561636933271 37.52132909107775, 127.02591462987584 37.52148340654009, 127.02555124752328 37.52193326720175, 127.02571501662557 37.52201630050777, 127.02574644875793 37.522032236903456, 127.02585923388943 37.522089419629886, 127.02609928924909 37.52221112833398, 127.02573087223806 37.52266284667096, 127.02611539427633 37.52285608499993, 127.02627766208026 37.52293763569508, 127.02645994548546 37.52302923777344, 127.02674656367496 37.52301832964786, 127.02710643896278 37.5230046379586, 127.0275422624558 37.52298805418911))",POINT (127.02825922387255 37.52001132419092),37.52001132419092,127.02825922387257
개나리아파트,420371541.54545456,3120206,11680650,역삼2동,"POLYGON ((127.04389802202432 37.50020078630066, 127.04397383991663 37.500039054548765, 127.04496939906123 37.50030344849601, 127.04513704124298 37.49994602754773, 127.04520709498316 37.49979667341995, 127.04519917576759 37.49979363195066, 127.04445102091533 37.499551108204834, 127.04422633537291 37.49950049922773, 127.04425999689128 37.49942874040313, 127.04433807559607 37.49926228898035, 127.04435019356964 37.499236433663555, 127.04437374963975 37.49918631175522, 127.04441361620702 37.499101485962385, 127.04451407006418 37.498884002017604, 127.04467303961847 37.49854541233676, 127.04468038648899 37.498529524817606, 127.04468745681538 37.498514514982666, 127.04493442288215 37.4979901942016, 127.04500002903542 37.49785090968436, 127.04502572802727 37.497796478205586, 127.04507924922059 37.497683127407726, 127.0451850126219 37.497459131944396, 127.04537641174603 37.4970540795994, 127.04551576967292 37.496759158089155, 127.04561899318435 37.49654313799065, 127.04571706829434 37.49633788681565, 127.04619083929542 37.49648404671844, 127.04621370209894 37.496417037124814, 127.04668698323017 37.496556862952936, 127.04684577321018 37.49622050298404, 127.04686117182088 37.49618788584303, 127.04701018924384 37.495872226532995, 127.04701393036957 37.49587094471374, 127.04607937883651 37.495560050254284, 127.04637300395991 37.494928563873316, 127.04671544276638 37.49419426512776, 127.04608389262614 37.49400047231469, 127.04602043795863 37.49398100106133, 127.04579360340034 37.493911397216934, 127.0457930782234 37.49391245700472, 127.04543751913147 37.49464181253419, 127.04527269718002 37.49459129148366, 127.04477991786798 37.49444023087411, 127.04496708320606 37.49489867226601, 127.04512066216388 37.495274836308376, 127.04452447533096 37.49509746956341, 127.04428672569148 37.49502673709009, 127.04413476422044 37.494981525573834, 127.04377363506623 37.49487408512482, 127.04374667166849 37.494866067141494, 127.04348656563562 37.49478868289052, 127.04314341007627 37.494686584973365, 127.04286734356212 37.49527743960474, 127.04340005729135 37.495436079983136, 127.04343349144705 37.49544604274156, 127.04376108689118 37.49554360269082, 127.04379879641284 37.4955548260723, 127.04380061849542 37.495555368703826, 127.04413864072085 37.49565603851803, 127.04385858537127 37.49626408806416, 127.04412381052853 37.496343325636985, 127.04371869583476 37.49721826981768, 127.04330662749841 37.49701499775238, 127.04321101963752 37.49696780200015, 127.04296283748151 37.49684528985593, 127.04256055658591 37.49664670495776, 127.04228650356212 37.49651141541947, 127.04196777090094 37.49718857242609, 127.04176521818879 37.497619328000305, 127.0416332962428 37.49789986326621, 127.0421467850955 37.498152481046475, 127.0421472251252 37.498152698032015, 127.04220451946803 37.49818088718466, 127.04233225489543 37.49824372541631, 127.04250368938332 37.498328061122564, 127.04250695398724 37.49832966734319, 127.04265598680813 37.4984029861724, 127.04300112114895 37.498572779120565, 127.04290208446989 37.49878567515489, 127.04253097576401 37.49867628933209, 127.042369914436 37.49862881552336, 127.04218759386443 37.49857507448081, 127.04198173844789 37.49851439656582, 127.04142190664406 37.49834938026628, 127.04136070330046 37.49847953044723, 127.04124360149912 37.4987285446512, 127.04164878804106 37.49884887964511, 127.04204181689276 37.49896560453888, 127.04243385161789 37.49908202303842, 127.04272412697115 37.499168229401775, 127.04282459813552 37.499198062278765, 127.04322824016926 37.49931793379219, 127.04295215651568 37.49990542741521, 127.04255112487323 37.49978687941084, 127.04215786500934 37.4996706239337, 127.04192164047865 37.49960078902252, 127.04178672121515 37.49988368426371, 127.04232784594701 37.50004340577512, 127.04281916204813 37.500188423131874, 127.04320204211675 37.50030143747221, 127.04377198193383 37.500469649112716, 127.04389802202432 37.50020078630066))",POINT (127.04415460618371 37.49724859262787),37.49724859262787,127.04415460618372
개포고등학교,47909541.98484848,3110994,11680670,개포2동,"POLYGON ((127.06039263854201 37.48453378642751, 127.06065830928858 37.48444850053471, 127.06111388385293 37.48455041848754, 127.06124237434753 37.48449738347559, 127.06158087155669 37.48435766476179, 127.06168311013523 37.484350494364584, 127.06184385124774 37.48431719286023, 127.06198832383366 37.48427375431907, 127.06206903760527 37.484241618926376, 127.06226397746526 37.48412128939811, 127.06251242317427 37.484047693585936, 127.06272128300932 37.48382120902939, 127.06276694367654 37.483771693287366, 127.06309095681023 37.48376374951449, 127.06312621791947 37.48373223232522, 127.06347071813649 37.483422107147, 127.06306955129097 37.48313287207866, 127.06306752925961 37.48312696344286, 127.06289072878162 37.482610590543025, 127.06265770496336 37.48228949664977, 127.06217732077931 37.481903063612414, 127.061799066901 37.48221684283343, 127.06152847993062 37.482021743571785, 127.06146462125355 37.482074382204225, 127.06140650718082 37.482117325665435, 127.06136574053451 37.482150935549924, 127.06124531026188 37.48225016666035, 127.06118914219968 37.48229644634093, 127.06117537809864 37.48230775932549, 127.06114188867475 37.48233528535693, 127.06103044930703 37.48242705754766, 127.06086334736455 37.48256466379679, 127.06036033286068 37.482978892960645, 127.06033727065805 37.48299789349641, 127.06031313730648 37.48301777666183, 127.06012247889878 37.48317476465618, 127.05969167088173 37.48352947319022, 127.05960547353665 37.48360044409704, 127.05958493631303 37.483617379900764, 127.05955835519437 37.48363930132471, 127.0594605907186 37.48371985026908, 127.05926717520835 37.483879199796505, 127.05925384807789 37.483906245744926, 127.05984369263047 37.48435513179168, 127.06012031677912 37.48456564621222, 127.06014755411617 37.48458637356169, 127.06039263854201 37.48453378642751))",POINT (127.06143025149692 37.48338597227012),37.48338597227012,127.06143025149692
경기고교사거리(경기고교앞사거리),103314322.6969697,3120216,11680565,청담동,"POLYGON ((127.05796037215984 37.51990639135016, 127.05815590834396 37.51955054141153, 127.0580610136876 37.519518204247326, 127.0582426336045 37.51918846123928, 127.05824713130946 37.51914785711982, 127.05766066702468 37.51896223730775, 127.0576548911696 37.51897247822562, 127.05749877528747 37.519249264989845, 127.05745237035796 37.51933154014058, 127.05732846183778 37.5195512234415, 127.05700161059035 37.51942284544382, 127.05696878838661 37.51940995441097, 127.05643073254122 37.51885695806805, 127.05642948728158 37.51885568194157, 127.05638460110022 37.51888300106966, 127.05601606824241 37.51910729464186, 127.05601342674781 37.519116134734915, 127.0559435368814 37.51934996464113, 127.05580170444482 37.519824492716666, 127.05554068832161 37.51977769871796, 127.05554021747048 37.51977885492621, 127.0555035076715 37.519903711551876, 127.05576190022698 37.520179046267586, 127.05556827049502 37.52053463092255, 127.05520774459217 37.521194279099156, 127.05489521491883 37.52176610019291, 127.0548689593076 37.52181413763836, 127.05589630659973 37.522170751185335, 127.05589280346791 37.522177204922976, 127.05587097748406 37.522216623302285, 127.05624210880562 37.5224642345834, 127.05672476156802 37.52286917920051, 127.05674348340946 37.522839041584206, 127.05699634706023 37.522377626343555, 127.05722880720899 37.52195343723024, 127.05732398701927 37.52177975344372, 127.05764772227307 37.521188995799825, 127.0577083268237 37.52107840235151, 127.0578687489729 37.520785654723326, 127.05806858578653 37.52040558391674, 127.05806123888385 37.52040300885833, 127.05774798725466 37.52029322386118, 127.05781623501953 37.52016869890059, 127.05796037215984 37.51990639135016))",POINT (127.05661350162892 37.520750447996676),37.52075044799668,127.05661350162892
