기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적
20221,A,골목상권,3110967,역삼역 8번,CS300002,편의점,152968591,19203,109788599,43179992,21597558,21766050,23740216,22022649,20662126,25825631,17354361,20426975,14648437,16139188,22669928,40796938,38287125,92420980,57348627,425913,36540198,58252232,32958652,16084424,5508187,14367,4836,2855,2977,2678,2979,2878,2707,2129,2022,2291,2800,3264,4930,3896,11521,7434,70,5196,7775,3300,1938,675,203374,445011,11680,강남구,11680640,역삼1동,68672
20221,D,발달상권,3120197,역삼역,CS300002,편의점,15857339315,2210890,13247849536,2609489779,2531176983,2408784826,2695118091,2992370665,2620398971,1451298228,1158191551,1108123740,2889245640,2971202762,2606941187,3663302925,2618523061,9501598331,4110161819,53613845,2973670926,4916459779,3229247762,1672202119,766565725,1865740,345150,381138,361445,364562,398968,359627,189679,155471,127670,529584,447930,339932,485923,279851,1468009,652491,10650,503856,770234,469621,250279,115853,203179,444549,11680,강남구,11680640,역삼1동,562807
20221,A,골목상권,3110972,강남세브란스병원미래의학연구센터,CS300002,편의점,225099761,25735,165237175,59862586,35930174,29367897,31476861,32957726,35504517,31242531,28620055,9667834,22029463,32970428,29192316,70769016,60470704,123533373,101566388,1116489,46261161,89235235,61208288,21957615,5320973,19782,5953,3810,3797,4089,3944,4142,3122,2831,781,3718,4102,3970,7555,5609,14523,11212,217,5552,10602,6054,2524,786,203759,443901,11680,강남구,11680650,역삼2동,46603
20221,A,골목상권,3110992,도곡초등학교,CS300002,편의점,1246479736,223628,869573349,376906387,170406279,174410501,170720001,183282142,170754426,198692351,178214036,118496521,141934470,172341113,166193184,354020647,293493801,738672595,500512808,70433956,162684771,263040274,390329665,280674750,72021987,156914,66714,30837,31720,31158,32330,30869,35441,31273,15748,28029,36857,32838,66231,43925,124024,98862,25056,28297,38900,65751,53413,11470,205007,444509,11680,강남구,11680630,대치4동,138866
20221,A,골목상권,3110975,매봉역 1번,CS300002,편의점,1016999038,147075,732234572,284764466,145257125,138770709,150762128,149185751,148258859,143112249,141652217,41197287,177869202,170069442,148386840,285994314,193481953,640317629,301557562,15942172,154519426,276015458,219986536,182054244,93357354,108567,38508,21945,20669,22539,22471,20943,20098,18410,4768,34037,27444,23931,33854,23041,96431,45695,2989,30684,43733,29793,23908,11018,203984,443063,11680,강남구,11680655,도곡1동,52363
20221,A,골목상권,3110955,논현초등학교,CS300002,편의점,2333056381,253220,1689029057,644027324,329398396,338009495,325380681,331403261,364837224,338869073,305158251,342680000,244434624,243453858,276512049,646651132,579324718,1316908301,997835599,12614928,625800719,823369633,422479399,274950061,155529160,186458,66762,37167,37277,37028,38345,36641,35743,31019,32941,33590,33706,34177,64800,54006,152288,99113,1749,70820,89460,47235,27874,14263,202603,445503,11680,강남구,11680521,논현1동,190913
20221,A,골목상권,3110952,논현목련공원,CS300002,편의점,254806202,28581,187363816,67442386,36957044,37074171,37966814,39032728,36333059,31884759,35557627,35161936,32970493,29664880,34668852,61848019,60492022,138649291,111612993,180499,67329908,87962154,48716969,33603050,12469703,21073,7508,4060,4036,4496,4510,3971,3592,3916,3158,4768,3996,3931,6976,5752,16524,11767,50,8635,8930,5386,3865,1425,202337,445761,11680,강남구,11680521,논현1동,21629
20221,D,발달상권,3120195,성수대교남단,CS300002,편의점,546051956,85007,436727568,109324388,84817840,81109585,87153465,96252925,87393753,63584737,45739651,25833880,120601192,116323619,103684694,111499147,68109424,318911982,185151516,2422325,153249015,161392748,93000750,46142930,47855729,67953,17054,13566,13210,13563,14431,13183,9657,7397,2626,20536,20315,17134,16856,7540,49529,30950,785,29389,25410,13387,6558,4947,203046,447576,11680,강남구,11680545,압구정동,126830
20221,D,발달상권,3120209,"강남구청(청담역_8번, 강남세무서)",CS300002,편의점,2554375687,364269,1947822076,606553611,374530203,367569589,388944436,406225434,410552414,329619623,276933988,168363925,435313539,438565562,371044525,662366652,478721484,1594113709,879594266,44386132,404103908,652131413,731403608,421510481,220172436,282795,81474,55530,53834,56041,59904,57486,44827,36647,18229,69822,71917,59101,87456,57744,218474,138987,10336,74641,98733,90293,55384,28074,204377,446586,11680,강남구,11680565,청담동,134148
20221,A,골목상권,3110994,개포고등학교,CS300002,편의점,254844603,37755,186228191,68616412,35857463,36243565,37325133,38844546,37957484,34399801,34216611,17023908,48416390,40364812,30853406,71144844,47041243,187215753,65648732,5071804,43841237,55071702,67260900,55186500,26432342,28026,9729,5395,5291,5718,5948,5674,4905,4824,2512,7934,6569,5047,9217,6476,26473,11159,1165,7555,8116,9741,7605,3450,205433,442662,11680,강남구,11680670,개포2동,61589
