시간대_매출금액,시간대_유동인구_수,유동인구_수_평균,총_직장_인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,지출_총금액
605774191.0,344558.0,399532.25,3430.0,4495.0,12.0,2909460.0,4481561126.0
531497598.0,433632.0,399532.25,3430.0,4495.0,12.0,2909460.0,4481561126.0
230188421.0,342564.0,399532.25,3430.0,4495.0,12.0,2909460.0,4481561126.0
192457360.0,351383.0,399532.25,3430.0,4495.0,12.0,2909460.0,4481561126.0
222467605.0,621019.0,399532.25,3430.0,4495.0,12.0,2909460.0,4481561126.0
377166450.0,738999.0,399532.25,3430.0,4495.0,12.0,2909460.0,4481561126.0
164133614.0,78120.0,108191.65,1251.0,1088.0,7.0,3496418.0,1591782820.0
178983557.0,133464.0,108191.65,1251.0,1088.0,7.0,3496418.0,1591782820.0
85082196.0,134846.0,108191.65,1251.0,1088.0,7.0,3496418.0,1591782820.0
98977982.0,138575.0,108191.65,1251.0,1088.0,7.0,3496418.0,1591782820.0
87337402.0,174833.0,108191.65,1251.0,1088.0,7.0,3496418.0,1591782820.0
84038340.0,162820.0,108191.65,1251.0,1088.0,7.0,3496418.0,1591782820.0
124207062.0,111362.0,141046.35,962.0,1314.0,1.0,3318129.0,1444220522.0
180175416.0,180573.0,141046.35,962.0,1314.0,1.0,3318129.0,1444220522.0
92260126.0,157921.0,141046.35,962.0,1314.0,1.0,3318129.0,1444220522.0
91744235.0,156554.0,141046.35,962.0,1314.0,1.0,3318129.0,1444220522.0
71172032.0,212115.0,141046.35,962.0,1314.0,1.0,3318129.0,1444220522.0
52563116.0,205847.0,141046.35,962.0,1314.0,1.0,3318129.0,1444220522.0
119635665.0,93549.0,116323.85,1139.0,1500.0,0.0,3218797.0,1570369626.0
138515818.0,142251.0,116323.85,1139.0,1500.0,0.0,3218797.0,1570369626.0
85477304.0,128820.0,116323.85,1139.0,1500.0,0.0,3218797.0,1570369626.0
75795168.0,131757.0,116323.85,1139.0,1500.0,0.0,3218797.0,1570369626.0
72557094.0,185224.0,116323.85,1139.0,1500.0,0.0,3218797.0,1570369626.0
62101570.0,174918.0,116323.85,1139.0,1500.0,0.0,3218797.0,1570369626.0
429160889.0,112722.0,139440.6,1542.0,2549.0,1.0,3432046.0,3043232760.0
505553547.0,144801.0,139440.6,1542.0,2549.0,1.0,3432046.0,3043232760.0
219028437.0,129215.0,139440.6,1542.0,2549.0,1.0,3432046.0,3043232760.0
220179086.0,135055.0,139440.6,1542.0,2549.0,1.0,3432046.0,3043232760.0
189463290.0,222884.0,139440.6,1542.0,2549.0,1.0,3432046.0,3043232760.0
256550159.0,264777.0,139440.6,1542.0,2549.0,1.0,3432046.0,3043232760.0
49799528.0,34757.0,41825.25,2628.0,1003.0,4.0,3347336.0,1056500384.0
67679469.0,38404.0,41825.25,2628.0,1003.0,4.0,3347336.0,1056500384.0
33548247.0,34330.0,41825.25,2628.0,1003.0,4.0,3347336.0,1056500384.0
32037081.0,38283.0,41825.25,2628.0,1003.0,4.0,3347336.0,1056500384.0
18850470.0,68939.0,41825.25,2628.0,1003.0,4.0,3347336.0,1056500384.0
2895574.0,84807.0,41825.25,2628.0,1003.0,4.0,3347336.0,1056500384.0
74814495.0,82547.0,105948.6,578.0,1080.0,2.0,3250531.0,1119489213.0
104152568.0,132153.0,105948.6,578.0,1080.0,2.0,3250531.0,1119489213.0
46334496.0,113285.0,105948.6,578.0,1080.0,2.0,3250531.0,1119489213.0
42820807.0,117052.0,105948.6,578.0,1080.0,2.0,3250531.0,1119489213.0
53288495.0,158071.0,105948.6,578.0,1080.0,2.0,3250531.0,1119489213.0
17401505.0,159516.0,105948.6,578.0,1080.0,2.0,3250531.0,1119489213.0
81282763.0,14343.0,17157.5,148.0,340.0,0.0,2809700.0,275630230.0
98926052.0,21946.0,17157.5,148.0,340.0,0.0,2809700.0,275630230.0
42040988.0,18269.0,17157.5,148.0,340.0,0.0,2809700.0,275630230.0
50090671.0,18788.0,17157.5,148.0,340.0,0.0,2809700.0,275630230.0
48195964.0,26072.0,17157.5,148.0,340.0,0.0,2809700.0,275630230.0
31470193.0,25924.0,17157.5,148.0,340.0,0.0,2809700.0,275630230.0
184177501.0,57788.0,62967.85,361.0,907.0,4.0,3081543.0,895864770.0
239666796.0,81717.0,62967.85,361.0,907.0,4.0,3081543.0,895864770.0
121844507.0,58999.0,62967.85,361.0,907.0,4.0,3081543.0,895864770.0
112238086.0,60672.0,62967.85,361.0,907.0,4.0,3081543.0,895864770.0
132615842.0,87651.0,62967.85,361.0,907.0,4.0,3081543.0,895864770.0
89328369.0,101850.0,62967.85,361.0,907.0,4.0,3081543.0,895864770.0
164916498.0,100496.0,129302.5,1556.0,1912.0,9.0,3091267.0,1995713025.0
223968645.0,101596.0,129302.5,1556.0,1912.0,9.0,3091267.0,1995713025.0
100267167.0,83970.0,129302.5,1556.0,1912.0,9.0,3091267.0,1995713025.0
124985929.0,100964.0,129302.5,1556.0,1912.0,9.0,3091267.0,1995713025.0
93341764.0,211684.0,129302.5,1556.0,1912.0,9.0,3091267.0,1995713025.0
62575582.0,310492.0,129302.5,1556.0,1912.0,9.0,3091267.0,1995713025.0
125837554.0,72766.0,96705.5,444.0,904.0,2.0,3616235.0,1239122785.0
141488827.0,122972.0,96705.5,444.0,904.0,2.0,3616235.0,1239122785.0
61952211.0,107589.0,96705.5,444.0,904.0,2.0,3616235.0,1239122785.0
53641966.0,109826.0,96705.5,444.0,904.0,2.0,3616235.0,1239122785.0
51740344.0,144916.0,96705.5,444.0,904.0,2.0,3616235.0,1239122785.0
74963282.0,149768.0,96705.5,444.0,904.0,2.0,3616235.0,1239122785.0
226972195.0,234871.0,268081.35,2179.0,3681.0,7.0,4023815.0,3923283050.0
262072043.0,322374.0,268081.35,2179.0,3681.0,7.0,4023815.0,3923283050.0
129744273.0,218625.0,268081.35,2179.0,3681.0,7.0,4023815.0,3923283050.0
108138605.0,211489.0,268081.35,2179.0,3681.0,7.0,4023815.0,3923283050.0
116573164.0,365743.0,268081.35,2179.0,3681.0,7.0,4023815.0,3923283050.0
83259772.0,488405.0,268081.35,2179.0,3681.0,7.0,4023815.0,3923283050.0
47578145.0,71398.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
60979405.0,75778.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
34358203.0,60110.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
34791016.0,64341.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
36885735.0,124011.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
17654966.0,179726.0,81389.75,494.0,797.0,16.0,3250126.0,402347163.0
479556006.0,396392.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
586223612.0,390170.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
266340038.0,273425.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
220175262.0,296107.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
288779192.0,614126.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
191954664.0,937469.0,412101.0,1724.0,3441.0,49.0,3135357.0,7111260999.0
153626534.0,22953.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
207407422.0,26945.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
91119809.0,18991.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
82378671.0,18706.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
101484750.0,33592.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
80234841.0,44520.0,23826.9,268.0,2418.0,14.0,3614875.0,798255194.0
