,기준년코드,기준분기코드,행정동코드,행정동코드명,임대시세층구분코드,임대시세층구분명,보증금평균,월임대료평균,환산임대료평균,임대건수
0,2021,1,11620685,신사동,2,1층외,1234790.0,63556.0,75904.0,52.0
1,2021,1,11620685,신사동,1,1층,1616405.0,105569.0,121733.0,103.0
2,2021,1,11620685,신사동,0,전체층,1488379.0,91474.0,106358.0,155.0
3,2021,1,11680510,신사동,2,1층외,1461958.0,90591.0,105211.0,362.0
4,2021,1,11680510,신사동,1,1층,2326455.0,159796.0,183061.0,215.0
5,2021,1,11680510,신사동,0,전체층,1784084.0,116378.0,134219.0,577.0
6,2021,1,11680521,논현1동,2,1층외,1286000.0,95088.0,107948.0,369.0
7,2021,1,11680521,논현1동,1,1층,2114572.0,145641.0,166787.0,258.0
8,2021,1,11680521,논현1동,0,전체층,1626944.0,115890.0,132159.0,627.0
9,2021,1,11680531,논현2동,2,1층외,1137597.0,111410.0,122786.0,396.0
10,2021,1,11680531,논현2동,1,1층,1706544.0,122125.0,139190.0,207.0
11,2021,1,11680531,논현2동,0,전체층,1332907.0,115088.0,128417.0,603.0
12,2021,1,11680545,압구정동,2,1층외,2003467.0,79600.0,99635.0,322.0
13,2021,1,11680545,압구정동,1,1층,3120501.0,175683.0,206888.0,185.0
14,2021,1,11680545,압구정동,0,전체층,2411063.0,114660.0,138771.0,507.0
15,2021,1,11680565,청담동,2,1층외,1432667.0,107052.0,121379.0,385.0
16,2021,1,11680565,청담동,1,1층,2198610.0,149216.0,171203.0,165.0
17,2021,1,11680565,청담동,0,전체층,1662450.0,119702.0,136326.0,550.0
18,2021,1,11680580,삼성1동,2,1층외,2244575.0,154102.0,176548.0,247.0
19,2021,1,11680580,삼성1동,1,1층,2321001.0,147191.0,170401.0,116.0
20,2021,1,11680580,삼성1동,0,전체층,2268998.0,151894.0,174584.0,363.0
21,2021,1,11680590,삼성2동,2,1층외,1221552.0,104199.0,116414.0,237.0
22,2021,1,11680590,삼성2동,1,1층,2114968.0,151932.0,173082.0,162.0
23,2021,1,11680590,삼성2동,0,전체층,1584292.0,123579.0,139422.0,399.0
24,2021,1,11680600,대치1동,2,1층외,2143009.0,100728.0,122158.0,81.0
25,2021,1,11680600,대치1동,1,1층,4258203.0,232417.0,274999.0,45.0
26,2021,1,11680600,대치1동,0,전체층,2898435.0,147760.0,176744.0,126.0
27,2021,1,11680610,대치2동,2,1층외,1577866.0,107708.0,123487.0,219.0
28,2021,1,11680610,대치2동,1,1층,2446489.0,150042.0,174507.0,138.0
29,2021,1,11680610,대치2동,0,전체층,1913636.0,124072.0,143209.0,357.0
30,2021,1,11680630,대치4동,2,1층외,1692489.0,89562.0,106487.0,357.0
31,2021,1,11680630,대치4동,1,1층,3649027.0,171113.0,207603.0,195.0
32,2021,1,11680630,대치4동,0,전체층,2383657.0,118371.0,142207.0,552.0
33,2021,1,11680640,역삼1동,2,1층외,1124783.0,113835.0,125083.0,896.0
34,2021,1,11680640,역삼1동,1,1층,2027878.0,146428.0,166707.0,455.0
35,2021,1,11680640,역삼1동,0,전체층,1428934.0,124812.0,139102.0,1351.0
36,2021,1,11680650,역삼2동,2,1층외,1547275.0,107890.0,123363.0,245.0
37,2021,1,11680650,역삼2동,1,1층,2376814.0,153565.0,177333.0,131.0
38,2021,1,11680650,역삼2동,0,전체층,1836290.0,123803.0,142166.0,376.0
39,2021,1,11680655,도곡1동,2,1층외,986795.0,86228.0,96096.0,94.0
40,2021,1,11680655,도곡1동,1,1층,2286455.0,149108.0,171972.0,62.0
41,2021,1,11680655,도곡1동,0,전체층,1503327.0,111219.0,126252.0,156.0
42,2021,1,11680656,도곡2동,2,1층외,1750816.0,101215.0,118723.0,121.0
43,2021,1,11680656,도곡2동,1,1층,2656304.0,161973.0,188536.0,78.0
44,2021,1,11680656,도곡2동,0,전체층,2105731.0,125030.0,146087.0,199.0
45,2021,1,11680660,개포1동,2,1층외,3001012.0,50661.0,80672.0,7.0
46,2021,1,11680660,개포1동,1,1층,0.0,0.0,0.0,2.0
47,2021,1,11680660,개포1동,0,전체층,0.0,0.0,0.0,9.0
48,2021,1,11680670,개포2동,2,1층외,1299651.0,81380.0,94377.0,42.0
49,2021,1,11680670,개포2동,1,1층,3383800.0,138594.0,172432.0,53.0
