기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20221,A,골목상권,3110967,역삼역 8번,CS300002,편의점,152968591,19203,109788599,43179992,21597558,21766050,23740216,22022649,20662126,25825631,17354361,20426975,14648437,16139188,22669928,40796938,38287125,92420980,57348627,425913,36540198,58252232,32958652,16084424,5508187,14367,4836,2855,2977,2678,2979,2878,2707,2129,2022,2291,2800,3264,4930,3896,11521,7434,70,5196,7775,3300,1938,675,203374,445011,11680,강남구,11680640,역삼1동,68672,673492,361419,312072,36479,149969,192056,141678,80140,73171,141161,144654,105664,100491,111100,70426,101250,101770,102660,106969,104967,78514,77363,1279,615,664,99,234,354,249,158,185,48,108,169,119,86,85,51,126,185,130,72,100,864,0,864,3201729.0,7.0,924042436.0,224952107.0,115536448.0,76369089.0,102770714.0,161460500.0,34563514.0,30835550.0,135933064.0,41621450.0,377,228,149,0,63,92,89,92,41,0,31,51,60,56,30,0,32,41,29,36,11
20221,D,발달상권,3120197,역삼역,CS300002,편의점,15857339315,2210890,13247849536,2609489779,2531176983,2408784826,2695118091,2992370665,2620398971,1451298228,1158191551,1108123740,2889245640,2971202762,2606941187,3663302925,2618523061,9501598331,4110161819,53613845,2973670926,4916459779,3229247762,1672202119,766565725,1865740,345150,381138,361445,364562,398968,359627,189679,155471,127670,529584,447930,339932,485923,279851,1468009,652491,10650,503856,770234,469621,250279,115853,203179,444549,11680,강남구,11680640,역삼1동,562807,4369931,2435507,1934424,168778,1005250,1310412,923159,518050,444284,537806,917755,867213,868827,829977,348354,717178,708924,707702,765739,727081,401788,341519,6083,3079,3004,523,1507,1800,856,603,794,324,602,907,475,361,410,199,905,893,381,242,384,4337,0,4337,3487230.0,7.0,3212597751.0,761484722.0,412431727.0,282783645.0,348687928.0,558361252.0,141763838.0,107017811.0,456049389.0,144017439.0,58731,38593,20138,93,10093,18065,15897,10840,3743,43,5229,11924,11872,7083,2442,50,4864,6141,4025,3757,1301
20221,A,골목상권,3110972,강남세브란스병원미래의학연구센터,CS300002,편의점,225099761,25735,165237175,59862586,35930174,29367897,31476861,32957726,35504517,31242531,28620055,9667834,22029463,32970428,29192316,70769016,60470704,123533373,101566388,1116489,46261161,89235235,61208288,21957615,5320973,19782,5953,3810,3797,4089,3944,4142,3122,2831,781,3718,4102,3970,7555,5609,14523,11212,217,5552,10602,6054,2524,786,203759,443901,11680,강남구,11680650,역삼2동,46603,354565,159474,195091,48816,58001,72305,70169,48175,57101,98305,81216,47090,42675,45692,39587,52098,51236,51972,52588,52294,46827,47549,1921,869,1052,226,324,438,302,247,384,114,136,201,138,106,174,112,188,237,164,141,210,1003,0,1003,3347336.0,7.0,1056500384.0,254740419.0,134175063.0,81321927.0,123322133.0,178787715.0,42928274.0,33632233.0,160413862.0,47178758.0,2628,1440,1188,17,539,669,692,581,130,4,240,428,438,258,72,13,299,241,254,323,58
20221,A,골목상권,3110992,도곡초등학교,CS300002,편의점,1246479736,223628,869573349,376906387,170406279,174410501,170720001,183282142,170754426,198692351,178214036,118496521,141934470,172341113,166193184,354020647,293493801,738672595,500512808,70433956,162684771,263040274,390329665,280674750,72021987,156914,66714,30837,31720,31158,32330,30869,35441,31273,15748,28029,36857,32838,66231,43925,124024,98862,25056,28297,38900,65751,53413,11470,205007,444509,11680,강남구,11680630,대치4동,138866,2019617,961553,1058064,726351,226423,216984,362120,258616,229125,515365,394359,235382,246998,368379,259135,275481,276185,281596,282497,285384,312484,305991,7894,3676,4218,1431,1250,1132,1562,1292,1227,754,628,517,630,619,528,677,622,615,932,673,699,3681,0,3681,4023815.0,8.0,3923283050.0,937593874.0,478638464.0,275807739.0,431995113.0,651824652.0,129811783.0,117895983.0,725606753.0,174108689.0,2179,1144,1035,3,269,440,484,524,459,1,108,253,258,260,264,2,161,187,226,264,195
20221,A,골목상권,3110975,매봉역 1번,CS300002,편의점,1016999038,147075,732234572,284764466,145257125,138770709,150762128,149185751,148258859,143112249,141652217,41197287,177869202,170069442,148386840,285994314,193481953,640317629,301557562,15942172,154519426,276015458,219986536,182054244,93357354,108567,38508,21945,20669,22539,22471,20943,20098,18410,4768,34037,27444,23931,33854,23041,96431,45695,2989,30684,43733,29793,23908,11018,203984,443063,11680,강남구,11680655,도곡1동,52363,274529,123824,150704,32520,41816,47634,42975,48828,60755,52773,57154,42159,41813,51503,29127,40661,39965,40211,41207,40650,36392,35441,890,417,473,121,142,116,109,159,243,58,76,52,44,70,117,63,66,64,65,89,126,353,0,353,4853527.0,8.0,539131517.0,124174281.0,69799635.0,42314956.0,65539115.0,99775071.0,26420143.0,15291036.0,72250248.0,23567032.0,10837,6932,3905,34,2175,2199,3202,3019,208,21,1010,1161,2184,2402,154,13,1165,1038,1018,617,54
20221,A,골목상권,3110955,논현초등학교,CS300002,편의점,2333056381,253220,1689029057,644027324,329398396,338009495,325380681,331403261,364837224,338869073,305158251,342680000,244434624,243453858,276512049,646651132,579324718,1316908301,997835599,12614928,625800719,823369633,422479399,274950061,155529160,186458,66762,37167,37277,37028,38345,36641,35743,31019,32941,33590,33706,34177,64800,54006,152288,99113,1749,70820,89460,47235,27874,14263,202603,445503,11680,강남구,11680521,논현1동,190913,2923300,1404588,1518713,193137,682092,833873,548816,300106,365276,757203,656302,368279,357254,442527,341734,421609,416993,423460,428327,425248,407349,400312,7026,3311,3715,449,1586,1921,1170,750,1150,210,704,928,582,361,526,239,882,993,588,389,624,4495,0,4495,2909460.0,6.0,4481561126.0,1113491654.0,560784114.0,371708675.0,511906570.0,777581370.0,172001308.0,150201464.0,624213893.0,199672078.0,3430,2238,1192,19,719,823,793,625,451,13,417,568,554,389,297,6,302,255,239,236,154
20221,A,골목상권,3110952,논현목련공원,CS300002,편의점,254806202,28581,187363816,67442386,36957044,37074171,37966814,39032728,36333059,31884759,35557627,35161936,32970493,29664880,34668852,61848019,60492022,138649291,111612993,180499,67329908,87962154,48716969,33603050,12469703,21073,7508,4060,4036,4496,4510,3971,3592,3916,3158,4768,3996,3931,6976,5752,16524,11767,50,8635,8930,5386,3865,1425,202337,445761,11680,강남구,11680521,논현1동,21629,241082,118453,122630,17880,59324,60291,43563,27504,32520,70360,53127,27343,26553,33927,29771,34621,34076,34530,34781,34469,33752,34851,868,389,479,57,211,243,125,78,154,33,88,115,56,31,66,24,123,128,69,47,88,571,0,571,2526010.0,6.0,531557003.0,140476719.0,66530435.0,44609245.0,62132304.0,89319670.0,18606545.0,19003174.0,66421414.0,24457497.0,117,65,52,0,21,23,27,22,24,0,9,13,13,14,16,0,12,10,14,8,8
20221,D,발달상권,3120195,성수대교남단,CS300002,편의점,546051956,85007,436727568,109324388,84817840,81109585,87153465,96252925,87393753,63584737,45739651,25833880,120601192,116323619,103684694,111499147,68109424,318911982,185151516,2422325,153249015,161392748,93000750,46142930,47855729,67953,17054,13566,13210,13563,14431,13183,9657,7397,2626,20536,20315,17134,16856,7540,49529,30950,785,29389,25410,13387,6558,4947,203046,447576,11680,강남구,11680545,압구정동,126830,824979,368334,456645,85694,183390,188999,151565,98936,116394,93589,139811,155169,169712,193256,73441,116196,119728,120271,128363,132239,116120,92062,444,233,211,59,65,73,87,60,100,36,32,36,44,35,50,23,33,37,43,25,50,224,0,224,3256289.0,7.0,813650624.0,171831085.0,102255984.0,69028689.0,88290006.0,148552173.0,42093747.0,22711830.0,136426585.0,32460525.0,5611,2685,2926,39,1393,2394,1102,426,257,15,487,1194,634,208,147,24,906,1200,468,218,110
20221,D,발달상권,3120209,"강남구청(청담역_8번, 강남세무서)",CS300002,편의점,2554375687,364269,1947822076,606553611,374530203,367569589,388944436,406225434,410552414,329619623,276933988,168363925,435313539,438565562,371044525,662366652,478721484,1594113709,879594266,44386132,404103908,652131413,731403608,421510481,220172436,282795,81474,55530,53834,56041,59904,57486,44827,36647,18229,69822,71917,59101,87456,57744,218474,138987,10336,74641,98733,90293,55384,28074,204377,446586,11680,강남구,11680565,청담동,134148,848046,383979,464066,150149,105741,143837,174034,123144,151141,152282,169364,137081,140538,159709,89073,123913,125243,126553,130547,129771,111498,100521,1374,624,750,205,242,240,225,210,252,113,100,92,99,97,123,92,142,148,126,113,129,671,0,671,4707158.0,8.0,675548286.0,150602881.0,86492080.0,53213938.0,74836963.0,119001956.0,33067560.0,19406488.0,110555007.0,28371413.0,8987,2610,6377,34,2050,2684,2467,1172,580,9,538,752,537,395,379,25,1512,1932,1930,777,201
20221,A,골목상권,3110994,개포고등학교,CS300002,편의점,254844603,37755,186228191,68616412,35857463,36243565,37325133,38844546,37957484,34399801,34216611,17023908,48416390,40364812,30853406,71144844,47041243,187215753,65648732,5071804,43841237,55071702,67260900,55186500,26432342,28026,9729,5395,5291,5718,5948,5674,4905,4824,2512,7934,6569,5047,9217,6476,26473,11159,1165,7555,8116,9741,7605,3450,205433,442662,11680,강남구,11680670,개포2동,61589,439755,206321,233433,86708,41545,57647,77593,67318,108942,117679,101088,55833,52131,63228,49795,62865,62892,64087,63531,63303,62581,60497,1777,891,886,275,226,239,263,285,489,152,132,126,122,134,225,123,94,113,141,151,264,797,0,797,3250126.0,7.0,402347163.0,97572318.0,49511431.0,28962441.0,48913433.0,69884592.0,15715409.0,11490675.0,63021528.0,17275336.0,494,382,112,7,65,161,123,110,28,4,47,134,103,73,21,3,18,27,20,37,7
