상권_코드,상권_코드_명,행정동_코드,행정동_코드_명,center_point,latitude,longitude
3110968,강남구청역 2번,11680531,논현2동,POINT (127.0401828335624 37.51465469359858),37.51465469359858,127.0401828335624
3001496,강남 마이스 관광특구,11680580,삼성1동,POINT (127.0597372303084 37.51108529927061),37.51108529927061,127.0597372303084
3130310,강남개포시장,11680670,개포2동,POINT (127.06759565140312 37.48889517240173),37.48889517240173,127.06759565140312
3130309,은마종합상점가,11680610,대치2동,POINT (127.063648823115 37.495731716138636),37.495731716138636,127.063648823115
3130308,청담삼익시장,11680565,청담동,POINT (127.057578326912 37.52236062110902),37.52236062110902,127.057578326912
3130307,도곡시장,11680650,역삼2동,POINT (127.05171217238974 37.498004631874544),37.498004631874544,127.05171217238974
3130306,강남언주로,11680640,역삼1동,POINT (127.04291206902344 37.50486296156581),37.50486296156581,127.04291206902344
3130305,논현종합시장,11680531,논현2동,POINT (127.03435610038684 37.50989322916515),37.50989322916515,127.03435610038684
3130304,신사상가,11680545,압구정동,POINT (127.028397789423 37.53232207277179),37.53232207277179,127.028397789423
3130303,영동전통시장,11680521,논현1동,POINT (127.02417684257243 37.50919182692873),37.50919182692873,127.02417684257243
3130302,강남시장(강남구 강남시장),11680510,신사동,POINT (127.02067875575781 37.51878696930516),37.51878696930516,127.02067875575781
3120198,구역삼세무서,11680640,역삼1동,POINT (127.0371990008369 37.49552942647651),37.49552942647651,127.0371990008369
3120197,역삼역,11680640,역삼1동,POINT (127.03595047837042 37.50040316752075),37.50040316752075,127.03595047837042
3120196,서울세관,11680531,논현2동,POINT (127.03535286079035 37.51532487033642),37.51532487033642,127.03535286079035
3120195,성수대교남단,11680545,압구정동,POINT (127.03446006414835 37.527676864421196),37.527676864421196,127.03446006414835
3120194,언주역(차병원),11680531,논현2동,POINT (127.03402824590725 37.50739809113222),37.50739809113222,127.03402824590725
3120193,도산공원교차로,11680545,압구정동,POINT (127.03357353833003 37.52156488873396),37.52156488873396,127.03357353833003
3120192,뱅뱅사거리,11680640,역삼1동,POINT (127.03148881620841 37.49025063110866),37.49025063110866,127.03148881620841
3120191,학동역,11680521,논현1동,POINT (127.03007661999689 37.51355962938717),37.51355962938717,127.03007661999689
3120190,강남을지병원,11680545,압구정동,POINT (127.02825922387255 37.52001132419092),37.52001132419092,127.02825922387255
3120207,선정릉역,11680590,삼성2동,POINT (127.0454895861816 37.511468489970795),37.511468489970795,127.0454895861816
3120206,개나리아파트,11680650,역삼2동,POINT (127.04415460618371 37.49724859262787),37.49724859262787,127.04415460618371
3120205,매봉역,11680656,도곡2동,POINT (127.04389228130466 37.48436036292124),37.48436036292124,127.04389228130466
3120204,르네상스호텔사거리,11680640,역삼1동,POINT (127.04282236492494 37.50309461921227),37.50309461921227,127.04282236492494
