상권_코드,상권_코드_명,소규모 상가 임대료,지하1층 임대료,1층 임대료,2층 임대료,3층 임대료,4층 임대료,5층 임대료
3110968,강남구청역 2번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3001496,강남 마이스 관광특구,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130310,강남개포시장,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130309,은마종합상점가,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130308,청담삼익시장,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130307,도곡시장,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130306,강남언주로,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130305,논현종합시장,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130304,신사상가,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130303,영동전통시장,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3130302,강남시장(강남구 강남시장),59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120198,구역삼세무서,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120197,역삼역,69.0,25.9,46.7,33.0,25.4,21.9,21.9
3120196,서울세관,59.3,18.6,49.5,26.0,21.5,22.1,21.5
3120195,성수대교남단,43.3,15.3,47.5,29.0,25.5,26.7,22.4
3120194,언주역(차병원),59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120193,도산공원교차로,45.1,22.5,46.0,27.9,24.0,21.5,23.4
3120192,뱅뱅사거리,103.1,35.2,106.1,46.1,36.0,29.9,30.1
3120191,학동역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120190,강남을지병원,45.1,22.5,46.0,27.9,24.0,21.5,23.4
3120207,선정릉역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120206,개나리아파트,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120205,매봉역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120204,르네상스호텔사거리,69.0,25.9,46.7,33.0,25.4,21.9,21.9
3120203,강남구청역,59.3,18.6,49.5,26.0,21.5,22.1,21.5
3120202,압구정로데오역(압구정로데오),43.3,15.3,47.5,29.0,25.5,26.7,22.4
3120201,도곡1동,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120200,학동사거리,45.1,22.5,46.0,27.9,24.0,21.5,23.4
3120199,경복아파트교차로,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120188,압구정역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120187,신논현역,103.1,35.2,106.1,46.1,36.0,29.9,30.1
3120224,수서역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120223,휘문고교사거리,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120222,삼성역,69.0,25.9,46.7,33.0,25.4,21.9,21.9
3120221,봉은사역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120220,대치역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120219,은마아파트,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120218,코엑스,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120217,대치사거리,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120216,경기고교사거리(경기고교앞사거리),61.3,17.0,59.2,29.2,23.5,21.1,20.9
3120215,포스코사거리,69.0,25.9,46.7,33.0,25.4,21.9,21.9
3120214,영동대교남단교차로,61.3,17.0,59.2,29.2,23.5,21.1,20.9
3120213,삼성중앙역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120212,한티역,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120211,도성초등학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120210,선릉역,69.0,25.9,46.7,33.0,25.4,21.9,21.9
3120209,"강남구청(청담역_8번, 강남세무서)",61.3,17.0,59.2,29.2,23.5,21.1,20.9
3120208,청담사거리(청담동명품거리),45.1,22.5,46.0,27.9,24.0,21.5,23.4
3120186,가로수길,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3120185,논현역,63.9,15.0,53.1,23.8,19.1,17.0,16.2
3110967,역삼역 8번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110966,논현2동주민센터,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110982,강남구보훈회관,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110981,국악고교사거리,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110980,개포지구대옆,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110979,청담초등학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110978,도곡2동주민센터(대치중학교),59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110977,논현로18길,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110976,언북초등학교,61.3,17.0,59.2,29.2,23.5,21.1,20.9
3110975,매봉역 1번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110974,언주중학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110965,언주역 6번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110964,싸리고개근린공원,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110963,역삼월드메르디앙아파트,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110962,도산공원북측,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110961,언주역 3번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110960,은광여고,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110959,신구중학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110958,역삼역 4번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110957,언북중학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3111001,아래방죽마을공원(율현초등학교),59.3,19.4,56.9,28.2,23.6,21.3,20.6
3111000,대왕초등학교(세곡동사거리서남측),59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110999,윗방죽마을공원,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110998,은곡마을(은곡마을공원),59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110997,대청초등학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110956,언주역 8번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110955,논현초등학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110954,국기원,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110953,학동근린공원,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110952,논현목련공원,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110951,신사은행나무공원,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110950,논현역 7번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110949,한남IC,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110996,대치2동주민센터,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110995,봉은사역 4번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110994,개포고등학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110993,개포지하차도 북측,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110992,도곡초등학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110991,삼성중앙역 5번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110990,청담역 12번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110989,대치동아우편취급국,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110988,청담역 3번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3111002,한국교통안전공단 강남자동차검사소,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110987,영동대교남단,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110986,삼성중앙역 7번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110985,청담근린공원,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110984,포이초등학교(개포목련어린이공원),59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110983,국립국악고등학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110973,강남구청역 4번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110972,강남세브란스병원미래의학연구센터,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110971,선정릉역 4번,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110970,학동초등학교,59.3,19.4,56.9,28.2,23.6,21.3,20.6
3110969,베르사이유1아파트,59.3,19.4,56.9,28.2,23.6,21.3,20.6
