상권_코드_명,행정동_코드_명,상권_코드,행정동_코드,center_point,latitude,longitude,예상_월매출,소규모 상가 임대료,지하1층 임대료,1층 임대료,2층 임대료,3층 임대료,4층 임대료,5층 임대료
가로수길,신사동,3120186,11680510,POINT (127.02257440945728 37.52077108251097),37.52077108251097,127.02257440945728,287.19490742378247,59.3,19.4,56.9,28.2,23.6,21.3,20.6
강남 마이스 관광특구,삼성1동,3001496,11680580,POINT (127.0597372303084 37.51108529927061),37.51108529927061,127.0597372303084,343.5511439384441,59.3,19.4,56.9,28.2,23.6,21.3,20.6
강남개포시장,개포2동,3130310,11680670,POINT (127.06759565140312 37.48889517240173),37.48889517240173,127.06759565140312,118.1438942316189,59.3,19.4,56.9,28.2,23.6,21.3,20.6
"강남구청(청담역_8번, 강남세무서)",청담동,3120209,11680565,POINT (127.04950679108644 37.51874512358759),37.51874512358759,127.04950679108644,402.53276644857624,61.3,17.0,59.2,29.2,23.5,21.1,20.9
강남구청역,논현2동,3120203,11680531,POINT (127.04069134743949 37.51624819863873),37.51624819863873,127.04069134743948,483.972647148995,59.3,18.6,49.5,26.0,21.5,22.1,21.5
강남세브란스병원미래의학연구센터,역삼2동,3110972,11680650,POINT (127.04251053481089 37.49455433678061),37.49455433678061,127.04251053481087,35.88477995444707,59.3,19.4,56.9,28.2,23.6,21.3,20.6
강남을지병원,압구정동,3120190,11680545,POINT (127.02825922387255 37.52001132419092),37.52001132419092,127.02825922387257,633.315474870516,45.1,22.5,46.0,27.9,24.0,21.5,23.4
개나리아파트,역삼2동,3120206,11680650,POINT (127.04415460618371 37.49724859262787),37.49724859262787,127.04415460618372,403.1755731003568,59.3,19.4,56.9,28.2,23.6,21.3,20.6
개포고등학교,개포2동,3110994,11680670,POINT (127.06143025149692 37.48338597227012),37.48338597227012,127.06143025149692,50.88714038977624,59.3,19.4,56.9,28.2,23.6,21.3,20.6
경기고교사거리(경기고교앞사거리),청담동,3120216,11680565,POINT (127.05661350162892 37.520750447996676),37.52075044799668,127.05661350162892,106.15604410182601,61.3,17.0,59.2,29.2,23.5,21.1,20.9
경복아파트교차로,역삼1동,3120199,11680640,POINT (127.03900810515496 37.50799352798939),37.50799352798939,127.03900810515496,544.4210478717806,59.3,19.4,56.9,28.2,23.6,21.3,20.6
구역삼세무서,역삼1동,3120198,11680640,POINT (127.0371990008369 37.49552942647651),37.49552942647651,127.0371990008369,502.2609009508053,59.3,19.4,56.9,28.2,23.6,21.3,20.6
국악고교사거리,개포4동,3110981,11680690,POINT (127.04893310777997 37.475601873048426),37.475601873048426,127.04893310777996,157.44022111389995,59.3,19.4,56.9,28.2,23.6,21.3,20.6
논현로18길,개포4동,3110977,11680690,POINT (127.0469648482414 37.47742612918721),37.47742612918721,127.0469648482414,67.82582172218481,59.3,19.4,56.9,28.2,23.6,21.3,20.6
논현목련공원,논현1동,3110952,11680521,POINT (127.02642881403081 37.511320148919985),37.51132014891999,127.0264288140308,46.99973355481356,59.3,19.4,56.9,28.2,23.6,21.3,20.6
